gene_symbol	log2_fold_change	mean_test	mean_control	pvalue	pvalue_adjusted	direction	significant
CSAG3	3.9467	206.2030	11.0395	3.59e-15	7.84e-14	up	yes
CALML5	3.9348	75.9340	0.3051	3.82e-06	1.74e-05	up	yes
WNT16	3.9300	819.7005	23.2203	2.05e-31	6.49e-29	up	yes
MC2R	3.9071	33.1472	4.0113	1.76e-30	5.02e-28	up	yes
C1QL4	3.8940	84.9442	4.5367	1.11e-20	6.16e-19	up	yes
C6ORF15	3.8920	54.1523	4.5254	2.53e-06	1.19e-05	up	yes
DISP3	3.8862	121.0254	6.0960	2.56e-40	3.53e-37	up	yes
CSAG2	3.8798	35.0305	0.7797	2.84e-14	5.40e-13	up	yes
USP17L22	3.8746	343.3299	3.7345	1.37e-04	4.60e-04	up	yes
UNCX	3.8572	10.4010	0.2655	3.63e-05	1.37e-04	up	yes
C20ORF173	3.8444	18.7157	0.8079	4.41e-09	3.43e-08	up	yes
KASH5	3.8317	56.5228	3.7910	2.25e-27	4.03e-25	up	yes
NKX1-2	3.8191	56.8173	2.8136	2.65e-11	3.04e-10	up	yes
SPEM1	3.7800	7.8274	0.1073	2.19e-06	1.05e-05	up	yes
SLC6A17	3.7775	229.4112	18.0339	6.58e-28	1.27e-25	up	yes
PRR9	3.7652	68.1827	4.9831	8.28e-20	3.98e-18	up	yes
CGB2	3.7646	25.1218	1.0226	1.53e-13	2.58e-12	up	yes
CHRND	3.7602	50.7208	4.0339	5.05e-18	1.79e-16	up	yes
KRTAP2-3	3.7469	67.0508	3.5141	6.87e-14	1.22e-12	up	yes
DLX4	3.7391	126.8528	16.6328	1.32e-45	3.19e-42	up	yes
NKX2-1	3.7376	37.5736	1.9096	3.20e-15	7.04e-14	up	yes
GBX2	3.7345	55.0609	3.8588	4.83e-21	2.85e-19	up	yes
PAGE1	3.7332	28.6497	0.2260	2.26e-05	8.89e-05	up	yes
GTSF1	3.7212	963.8274	45.2316	3.78e-33	1.50e-30	up	yes
GARIN6	3.7079	15.7208	0.8362	2.13e-05	8.41e-05	up	yes
PRDM13	3.7058	33.1015	0.5028	2.11e-14	4.10e-13	up	yes
CST1	3.6932	743.2386	67.4802	8.72e-18	2.97e-16	up	yes
KRT5	3.6533	1750.2843	28.3051	9.44e-26	1.22e-23	up	yes
EEF1A2	3.6522	3513.6396	330.9492	1.19e-34	5.62e-32	up	yes
ADAMTS20	3.6496	132.3655	2.6158	2.28e-09	1.86e-08	up	yes
PVALEF	3.6445	13.3299	0.6384	9.64e-11	9.99e-10	up	yes
HOXC9	3.6433	107.1066	8.4520	1.55e-35	9.40e-33	up	yes
HOXC13	3.6418	64.2081	4.7740	2.29e-15	5.16e-14	up	yes
PRSS56	3.6172	42.9340	1.2712	1.58e-13	2.65e-12	up	yes
ELOVL3	3.6159	91.8985	5.9209	3.62e-35	2.00e-32	up	yes
FBXO39	3.6157	30.7157	5.7006	4.53e-15	9.73e-14	up	yes
SUN3	3.6134	61.0609	1.9718	6.73e-26	8.93e-24	up	yes
SPRR1A	3.6065	16.8782	2.0000	1.70e-08	1.20e-07	up	yes
NPBWR2	3.6018	12.7817	0.5085	1.50e-09	1.27e-08	up	yes
XAGE1B	3.5732	34.4569	0.5876	2.06e-06	9.91e-06	up	yes
KRTDAP	3.5512	303.4416	1.2599	5.00e-19	2.13e-17	up	yes
CFAP47	3.5455	381.4772	6.0000	3.97e-12	5.26e-11	up	yes
ATP6V0A4	3.5407	81.3249	11.8983	1.13e-23	1.06e-21	up	yes
USP17L15	3.5139	726.4365	18.7571	9.02e-12	1.12e-10	up	yes
GALNT14	3.5002	237.1980	59.3446	3.40e-25	4.07e-23	up	yes
SPATA31A3	3.4983	95.4467	0.3672	2.29e-03	5.84e-03	up	yes
SHOX2	3.4950	120.7868	8.0678	5.82e-36	4.13e-33	up	yes
TBXT	3.4879	37.4010	0.8870	8.44e-09	6.26e-08	up	yes
C19ORF85	3.4799	14.5888	1.2373	1.83e-14	3.61e-13	up	yes
TMEM132E	3.4796	57.8071	4.7797	1.44e-15	3.35e-14	up	yes
CNPY1	3.4432	38.5584	1.7966	9.16e-15	1.89e-13	up	yes
CYP24A1	3.4399	1359.1726	92.9322	3.84e-21	2.32e-19	up	yes
XIRP2	3.4318	184.5736	1.2429	9.85e-07	5.04e-06	up	yes
MUC19	3.4185	632.0102	6.5311	2.86e-25	3.48e-23	up	yes
CPA4	3.4126	427.6701	43.6610	8.07e-31	2.33e-28	up	yes
S100A7	3.4076	62.8883	1.8362	1.27e-08	9.16e-08	up	yes
CRABP2	3.3949	2007.1980	276.9548	1.39e-33	5.71e-31	up	yes
VGF	3.3949	433.4822	41.3898	3.61e-40	4.66e-37	up	yes
PITX3	3.3854	26.2437	0.9040	2.27e-13	3.72e-12	up	yes
ADRA2C	3.3852	296.3756	31.3898	4.10e-40	4.97e-37	up	yes
AKAP4	3.3793	102.6345	0.6949	4.73e-07	2.56e-06	up	yes
S100A2	3.3701	579.0660	194.0226	1.35e-51	6.53e-48	up	yes
SOHLH1	3.3658	33.0761	2.0960	2.12e-06	1.02e-05	up	yes
DLX1	3.3638	79.1523	5.5819	3.85e-27	6.55e-25	up	yes
KCNH3	3.3505	414.5939	31.4350	8.82e-30	2.22e-27	up	yes
SFTPA1	3.3466	59.6904	1.1412	1.88e-07	1.10e-06	up	yes
AHSG	3.3434	82.0102	77.1864	4.23e-19	1.83e-17	up	yes
SPATA3	3.3293	25.4772	3.9435	9.84e-22	6.74e-20	up	yes
HOXC11	3.3265	49.8579	8.7684	3.29e-21	2.02e-19	up	yes
CXCL5	3.3248	1402.7005	135.7175	2.03e-17	6.31e-16	up	yes
DHRS2	3.3217	1278.7259	45.7006	1.22e-48	4.72e-45	up	yes
CCDC179	3.3181	10.8985	0.7966	2.74e-07	1.55e-06	up	yes
HOXC12	3.3149	27.0355	3.2599	1.06e-13	1.83e-12	up	yes
TNNT1	3.3107	892.0660	113.8136	9.06e-37	7.63e-34	up	yes
M1AP	3.3058	209.1269	15.5141	2.27e-34	1.02e-31	up	yes
UNC13A	3.3040	714.2995	61.0565	1.06e-40	1.71e-37	up	yes
OR52D1	3.2915	71.6954	1.2542	1.42e-10	1.43e-09	up	yes
CNTN6	3.2804	68.4162	3.6610	5.16e-11	5.62e-10	up	yes
STRA6	3.2731	183.7310	24.6328	2.92e-30	7.65e-28	up	yes
PTH2	3.2715	9.8122	0.2655	2.57e-07	1.46e-06	up	yes
FAM83C	3.2674	47.2690	4.1243	3.35e-24	3.36e-22	up	yes
SYT3	3.2615	67.3909	3.2655	2.18e-21	1.39e-19	up	yes
GABRA3	3.2610	114.8782	5.8588	1.22e-12	1.75e-11	up	yes
SP9	3.2600	36.3350	1.7458	3.01e-12	4.08e-11	up	yes
LORICRIN	3.2575	52.3553	0.7232	4.56e-06	2.05e-05	up	yes
GALNTL5	3.2537	28.3249	2.3785	1.08e-07	6.63e-07	up	yes
LY6G6D	3.2417	40.5685	1.7740	1.62e-10	1.61e-09	up	yes
PPP2R2C	3.2309	409.0761	49.4463	9.20e-36	5.75e-33	up	yes
FBN3	3.2249	270.9137	8.1017	3.32e-21	2.03e-19	up	yes
TMEM151A	3.2088	91.9391	11.4746	1.45e-27	2.65e-25	up	yes
PWWP3B	3.2014	171.5838	18.7006	3.45e-20	1.78e-18	up	yes
SPRR1B	3.2003	28.5330	2.5763	1.34e-06	6.65e-06	up	yes
MSX1	3.1933	1550.1421	129.4746	1.01e-33	4.33e-31	up	yes
GPR152	3.1782	23.6345	1.5593	3.43e-08	2.30e-07	up	yes
IRS4	3.1661	122.9289	4.4011	1.43e-20	7.84e-19	up	yes
ZAN	3.1654	194.0964	5.8983	1.28e-10	1.30e-09	up	yes
KCNU1	3.1437	95.9594	0.7119	6.83e-04	1.96e-03	up	yes
MEIOSIN	3.1426	90.9594	1.9718	2.53e-18	9.44e-17	up	yes
SLC10A4	3.1333	96.5431	7.0226	3.89e-26	5.31e-24	up	yes
TFDP3	3.1242	31.6294	0.2090	2.78e-04	8.75e-04	up	yes
OR51Q1	3.1103	37.3706	0.5537	2.47e-07	1.41e-06	up	yes
WNT3A	3.1077	47.0964	4.0395	1.15e-18	4.55e-17	up	yes
PRRX2	3.1044	177.6954	19.5028	8.29e-26	1.08e-23	up	yes
RTN4RL2	3.0997	233.3452	22.9831	3.42e-33	1.38e-30	up	yes
DNAAF3	3.0993	324.8477	53.2090	1.23e-33	5.18e-31	up	yes
CPNE7	3.0988	1287.8223	136.2147	9.02e-42	1.94e-38	up	yes
SLC30A3	3.0959	193.5888	49.8023	7.01e-35	3.67e-32	up	yes
TTC29	3.0946	44.4619	2.3842	1.91e-07	1.12e-06	up	yes
KRT81	3.0913	135.7005	7.5537	3.78e-31	1.12e-28	up	yes
WNT2	3.0910	146.9036	26.1412	1.07e-11	1.31e-10	up	yes
UNC5A	3.0881	177.4416	26.3446	8.58e-27	1.34e-24	up	yes
HOXC5	3.0855	34.8020	4.0000	1.36e-13	2.32e-12	up	yes
LGALS7B	3.0825	111.6802	1.8644	1.33e-07	8.02e-07	up	yes
MKX	3.0739	302.5939	55.9887	1.21e-23	1.11e-21	up	yes
LRP1B	3.0682	342.2030	15.1525	9.83e-15	2.01e-13	up	yes
KRT23	3.0611	359.8528	44.7514	1.59e-23	1.44e-21	up	yes
RNF182	3.0606	125.9086	11.0282	2.35e-24	2.44e-22	up	yes
FOXD1	3.0606	332.4975	32.7458	9.66e-28	1.82e-25	up	yes
ODAD2	3.0519	173.8426	18.7966	2.94e-22	2.22e-20	up	yes
KLC3	3.0482	280.3096	44.2034	4.92e-40	5.61e-37	up	yes
RTBDN	3.0428	107.5330	25.2768	2.44e-24	2.52e-22	up	yes
LCN8	3.0412	34.8325	4.2429	2.86e-07	1.61e-06	up	yes
OLR1	3.0268	1063.8020	53.2373	4.38e-23	3.70e-21	up	yes
PHYHIPL	3.0266	165.2792	28.6271	2.58e-14	4.94e-13	up	yes
ZC3H11B	3.0260	63.2640	3.0395	6.98e-16	1.70e-14	up	yes
DLX2	3.0255	72.7563	8.0282	2.39e-22	1.81e-20	up	yes
SH2D5	3.0225	165.6751	28.2655	2.28e-20	1.20e-18	up	yes
SFRP4	3.0110	867.5482	57.5480	1.38e-17	4.50e-16	up	yes
DMRTA2	3.0046	59.8376	8.3785	4.53e-14	8.33e-13	up	yes
COL11A2	3.0028	83.9746	9.6102	1.32e-25	1.65e-23	up	yes
SEC14L4	3.0025	159.0152	27.3333	1.80e-30	5.06e-28	up	yes
CNTNAP5	2.9985	97.2741	6.7345	7.55e-16	1.82e-14	up	yes
SLC8A2	2.9954	96.1878	20.2768	5.06e-24	4.95e-22	up	yes
WDR87	2.9856	143.7614	2.6780	4.08e-14	7.57e-13	up	yes
GUCY2F	2.9850	99.1421	0.4915	1.97e-06	9.50e-06	up	yes
OR51B6	2.9812	36.2487	0.4124	2.26e-06	1.08e-05	up	yes
IRX3	2.9789	76.9086	10.4068	2.21e-23	1.97e-21	up	yes
DPEP1	2.9601	2078.7411	284.1864	8.69e-23	7.16e-21	up	yes
ZIC5	2.9543	310.4975	34.8362	1.79e-17	5.65e-16	up	yes
ZNF385B	2.9536	162.8883	16.9605	2.75e-21	1.71e-19	up	yes
LCE1C	2.9509	9.5482	0.1356	3.11e-03	7.65e-03	up	yes
HMHB1	2.9504	4.8020	0.2429	2.30e-04	7.37e-04	up	yes
DDN	2.9478	203.5025	23.6215	7.02e-32	2.30e-29	up	yes
CCDC197	2.9406	16.6091	1.8023	2.41e-13	3.94e-12	up	yes
CST2	2.9323	51.3350	5.5876	4.66e-09	3.61e-08	up	yes
GPR87	2.9239	54.9289	9.4407	1.07e-14	2.17e-13	up	yes
GOLGA6L6	2.9218	73.7919	10.1130	2.46e-04	7.83e-04	up	yes
LMX1B	2.9197	290.8528	32.5819	2.63e-27	4.60e-25	up	yes
KPRP	2.9194	35.5838	0.3107	2.99e-03	7.39e-03	up	yes
SPRR2E	2.9185	12.8782	0.4294	3.21e-03	7.86e-03	up	yes
CCDC63	2.9115	42.6396	0.2938	7.70e-09	5.76e-08	up	yes
SOX1	2.8934	23.6497	7.4520	2.56e-09	2.06e-08	up	yes
MAT1A	2.8901	96.5381	10.5424	5.30e-27	8.62e-25	up	yes
OTX1	2.8893	145.5127	22.0339	1.61e-27	2.91e-25	up	yes
GOLGA6D	2.8858	40.9086	2.3729	4.28e-07	2.33e-06	up	yes
HTR2C	2.8857	49.4721	1.5198	1.08e-04	3.71e-04	up	yes
CILP2	2.8836	221.3553	45.5085	3.33e-24	3.36e-22	up	yes
ISM1	2.8828	163.1675	21.6667	2.42e-26	3.50e-24	up	yes
ARC	2.8816	303.0051	37.4689	2.85e-22	2.15e-20	up	yes
SSX3	2.8793	39.5990	1.0508	2.30e-09	1.87e-08	up	yes
MALRD1	2.8760	254.0051	63.1356	1.62e-15	3.73e-14	up	yes
ACOD1	2.8624	39.0508	1.5198	1.23e-05	5.10e-05	up	yes
ERVMER34-1	2.8610	440.4365	53.7458	5.67e-35	3.05e-32	up	yes
MYH8	2.8560	113.9695	2.9209	1.92e-06	9.28e-06	up	yes
LGALS7	2.8478	13.7259	0.8644	5.14e-07	2.76e-06	up	yes
EXTL1	2.8446	57.1624	6.9096	1.67e-19	7.67e-18	up	yes
RGS20	2.8383	82.2234	12.1299	5.47e-25	6.34e-23	up	yes
OR51I1	2.8323	43.6244	0.8588	4.15e-07	2.27e-06	up	yes
DLX3	2.8170	58.5736	8.9944	1.04e-18	4.15e-17	up	yes
REG1B	2.8090	379.3046	101.2712	1.15e-06	5.78e-06	up	yes
ALOXE3	2.8089	130.5381	14.6723	3.49e-27	6.03e-25	up	yes
SSX4	2.8051	37.6904	0.5480	2.93e-08	1.99e-07	up	yes
C2ORF78	2.8049	58.7868	1.0791	1.90e-10	1.87e-09	up	yes
MCIDAS	2.7968	91.2589	12.3446	1.13e-27	2.08e-25	up	yes
SPRR2D	2.7968	24.4365	2.2429	3.23e-07	1.80e-06	up	yes
NXF2B	2.7932	83.8325	1.9944	7.01e-05	2.50e-04	up	yes
SP5	2.7906	452.9949	76.8927	2.41e-28	4.92e-26	up	yes
OR51I2	2.7848	99.2538	2.3898	9.92e-13	1.46e-11	up	yes
FGB	2.7830	70.7513	10.9435	1.07e-16	2.97e-15	up	yes
OTOG	2.7794	205.8020	4.1017	3.45e-14	6.50e-13	up	yes
KRT26	2.7790	26.5939	0.7740	4.60e-07	2.49e-06	up	yes
CT47A12	2.7776	72.9848	2.4520	1.83e-03	4.79e-03	up	yes
TUBB4A	2.7768	417.2234	72.8927	6.93e-20	3.38e-18	up	yes
REG3A	2.7750	1507.9137	314.5537	5.41e-07	2.89e-06	up	yes
DLX6	2.7708	48.9340	8.2203	5.40e-19	2.28e-17	up	yes
SERPINA7	2.7704	43.7310	2.6045	1.73e-07	1.02e-06	up	yes
DUSP9	2.7666	169.3249	17.1582	1.09e-12	1.58e-11	up	yes
S100A7A	2.7630	10.4467	0.4181	3.87e-03	9.30e-03	up	yes
S100A3	2.7628	130.8985	16.7401	1.98e-35	1.13e-32	up	yes
SIX2	2.7624	31.9188	2.3898	1.99e-18	7.60e-17	up	yes
ULBP2	2.7580	207.2843	33.5480	2.84e-31	8.60e-29	up	yes
TNNI3	2.7557	166.5533	42.6158	8.98e-23	7.34e-21	up	yes
FAM25A	2.7522	9.9949	2.0000	1.21e-10	1.23e-09	up	yes
MORC1	2.7471	86.5939	0.9718	8.96e-06	3.81e-05	up	yes
PAH	2.7463	110.4112	24.7345	5.54e-17	1.61e-15	up	yes
FAM131C	2.7407	111.9797	20.5141	4.24e-20	2.15e-18	up	yes
SH3GL3	2.7371	45.5584	3.6610	2.06e-14	4.01e-13	up	yes
ARHGAP40	2.7365	78.4670	6.2373	9.38e-17	2.61e-15	up	yes
PGA3	2.7351	111.2995	1335.0960	4.13e-12	5.47e-11	up	yes
POTEI	2.7270	98.0305	20.0565	9.51e-20	4.51e-18	up	yes
LHX3	2.7261	23.8426	0.4463	1.90e-09	1.57e-08	up	yes
CHRNA6	2.7244	36.9543	2.4972	4.40e-09	3.43e-08	up	yes
MAGEA4	2.7224	76.0203	10.0113	4.39e-05	1.63e-04	up	yes
MKRN3	2.7180	144.4569	20.8192	5.30e-29	1.25e-26	up	yes
NYAP1	2.7160	106.8629	14.0282	3.58e-26	4.92e-24	up	yes
COL9A3	2.7105	999.4569	136.0113	5.32e-36	3.97e-33	up	yes
HOXC8	2.7052	59.9137	16.6441	4.15e-16	1.05e-14	up	yes
TEX19	2.7040	44.3299	4.7288	1.82e-14	3.58e-13	up	yes
ATP1A3	2.7000	454.4061	77.3559	2.60e-27	4.57e-25	up	yes
DPYSL5	2.6916	211.3655	27.7740	1.56e-19	7.18e-18	up	yes
TMEM249	2.6914	39.7919	6.4350	7.13e-33	2.71e-30	up	yes
MS4A15	2.6902	40.2690	2.0678	5.83e-16	1.44e-14	up	yes
ICAM5	2.6870	228.4822	43.8531	2.74e-30	7.27e-28	up	yes
POTEF	2.6850	235.6091	85.4520	2.52e-12	3.47e-11	up	yes
EPYC	2.6850	79.0254	2.2486	1.38e-05	5.68e-05	up	yes
CST5	2.6813	15.5635	0.3842	1.78e-05	7.13e-05	up	yes
CEACAM18	2.6813	31.7614	7.1356	1.64e-07	9.68e-07	up	yes
SSTR5	2.6810	116.4010	16.0734	4.31e-17	1.29e-15	up	yes
KRTAP3-1	2.6803	25.6497	4.2599	4.16e-07	2.27e-06	up	yes
GJA3	2.6803	221.6345	37.3220	2.45e-17	7.59e-16	up	yes
CLEC5A	2.6588	94.5431	14.6215	1.90e-12	2.65e-11	up	yes
HTR7	2.6479	258.1726	21.5480	2.07e-17	6.44e-16	up	yes
CRYGN	2.6472	79.0914	1.5085	3.36e-11	3.78e-10	up	yes
HPCAL4	2.6452	134.4264	13.4407	1.17e-16	3.22e-15	up	yes
ELMOD1	2.6437	70.3756	7.1469	3.15e-19	1.38e-17	up	yes
CRLF1	2.6428	348.2030	55.5819	1.14e-34	5.52e-32	up	yes
RAET1L	2.6424	65.5228	12.3390	9.33e-25	1.04e-22	up	yes
GAL	2.6419	716.6548	86.2825	4.32e-21	2.58e-19	up	yes
ANKRD63	2.6409	24.7716	6.1695	1.43e-16	3.89e-15	up	yes
TMEM40	2.6404	92.4467	19.6328	2.65e-24	2.70e-22	up	yes
SCN5A	2.6379	399.0914	137.7853	5.89e-21	3.42e-19	up	yes
RPTN	2.6365	46.9442	0.7232	3.95e-05	1.48e-04	up	yes
IRX5	2.6357	79.4061	10.4689	3.20e-21	1.97e-19	up	yes
CALML3	2.6354	142.8680	15.6949	7.96e-09	5.94e-08	up	yes
SHISA8	2.6339	73.8680	10.4972	1.52e-15	3.52e-14	up	yes
KCNK9	2.6284	49.0051	8.7175	3.38e-23	2.90e-21	up	yes
PTPRQ	2.6279	169.8274	9.6384	8.99e-06	3.82e-05	up	yes
LPA	2.6267	269.5431	29.0847	2.78e-08	1.90e-07	up	yes
IGDCC3	2.6250	83.7259	18.1977	1.92e-17	6.01e-16	up	yes
CLEC3A	2.6249	55.1624	47.0056	8.20e-16	1.96e-14	up	yes
FGF20	2.6222	67.3807	8.1130	3.35e-07	1.86e-06	up	yes
CAMK2N2	2.6173	68.4518	10.9492	2.39e-30	6.51e-28	up	yes
SSX4B	2.6158	20.3655	0.4689	1.56e-06	7.66e-06	up	yes
FOLR1	2.6113	142.6142	47.1808	2.58e-27	4.57e-25	up	yes
F2	2.6110	60.9188	20.2655	2.54e-17	7.82e-16	up	yes
MAGEB6	2.6092	33.1472	0.1356	2.64e-05	1.02e-04	up	yes
PAX7	2.6050	37.8731	1.8644	4.54e-05	1.68e-04	up	yes
KLF14	2.6036	21.2284	1.2599	2.39e-13	3.90e-12	up	yes
KRT37	2.6006	14.9594	0.8305	1.13e-04	3.87e-04	up	yes
TBR1	2.5923	38.8274	5.0226	1.66e-15	3.81e-14	up	yes
PADI3	2.5913	50.5584	4.0621	1.72e-19	7.87e-18	up	yes
TRIM67	2.5904	50.6701	9.6667	3.30e-20	1.71e-18	up	yes
NAT16	2.5881	45.1777	8.3559	1.19e-19	5.58e-18	up	yes
CEL	2.5876	1236.4569	69.5311	8.87e-28	1.68e-25	up	yes
GNGT1	2.5848	17.2487	3.4689	5.47e-16	1.36e-14	up	yes
TAFA3	2.5764	24.9289	1.2260	1.36e-13	2.32e-12	up	yes
B4GALNT1	2.5761	444.6497	47.9153	1.76e-22	1.37e-20	up	yes
WNT6	2.5733	150.3452	17.9322	2.34e-14	4.51e-13	up	yes
PAK5	2.5716	44.8731	5.5141	3.31e-08	2.23e-07	up	yes
MGAT5B	2.5709	114.8629	9.2203	2.81e-23	2.48e-21	up	yes
CTAG2	2.5692	23.2335	2.5480	2.05e-03	5.30e-03	up	yes
PRR20G	2.5661	17.2284	0.2316	2.77e-06	1.30e-05	up	yes
SSX5	2.5642	25.8680	1.0847	9.01e-08	5.60e-07	up	yes
SLC35D3	2.5617	86.6802	17.3729	5.89e-17	1.72e-15	up	yes
SLCO6A1	2.5611	42.9543	0.5989	1.17e-06	5.86e-06	up	yes
CGB7	2.5590	34.9898	8.3107	1.44e-20	7.88e-19	up	yes
NTSR1	2.5581	1849.2538	381.9605	6.28e-13	9.61e-12	up	yes
DKK4	2.5543	202.3350	15.4237	2.37e-12	3.27e-11	up	yes
HAS1	2.5505	70.6447	8.1186	5.51e-10	5.00e-09	up	yes
TEX13C	2.5489	81.7310	1.2260	1.82e-07	1.07e-06	up	yes
CGB5	2.5436	9.6599	0.5989	5.51e-08	3.57e-07	up	yes
BNC1	2.5402	89.6447	21.2655	4.79e-07	2.58e-06	up	yes
ACTL8	2.5386	182.5482	17.3785	4.14e-20	2.10e-18	up	yes
POTEE	2.5366	259.8579	106.9718	4.69e-09	3.63e-08	up	yes
KRT85	2.5325	34.4264	0.6949	7.69e-05	2.71e-04	up	yes
