gene_symbol	log2_fold_change	mean_test	mean_control	pvalue	pvalue_adjusted	direction	significant
CCL22	4.3403	23269.3585	617.2025	1.26e-18	1.52e-15	up	yes
TCN1	4.3010	1863.2453	104.5276	4.80e-11	1.06e-08	up	yes
SERPINB4	4.2970	32658.3208	955.4233	1.11e-08	1.14e-06	up	yes
CXCL13	4.2435	711.1509	29.4724	3.88e-10	6.58e-08	up	yes
LCE3C	4.2242	227.9057	3.8344	2.94e-05	6.11e-04	up	yes
S100A8	4.1531	178354.5094	15098.2945	1.38e-08	1.37e-06	up	yes
RHCG	4.1530	17909.4717	433.6135	1.01e-10	2.07e-08	up	yes
LCE7A	4.0512	770.3585	8.4110	1.73e-10	3.23e-08	up	yes
TMPRSS11D	4.0450	1182.6415	28.7853	6.77e-13	2.19e-10	up	yes
PI3	4.0014	50341.6792	3195.0859	1.83e-08	1.72e-06	up	yes
FAM25A	3.9739	8570.6038	202.0552	1.47e-08	1.43e-06	up	yes
RAMP1	3.9588	9652.4151	338.4356	2.21e-17	2.11e-14	up	yes
S100A12	3.9557	1200.7925	111.8037	2.05e-09	2.82e-07	up	yes
GNLY	3.9333	4301.8302	824.5092	2.65e-14	1.12e-11	up	yes
RNASE7	3.9043	23972.2642	304.4847	5.34e-10	8.81e-08	up	yes
CDX2	3.8592	134.2453	0.7914	1.15e-06	4.95e-05	up	yes
INSM1	3.8436	640.6981	9.0368	9.63e-10	1.47e-07	up	yes
BPY2	3.7806	50.2453	4.9939	1.56e-04	2.10e-03	up	yes
BPY2B	3.7806	50.2453	4.9939	1.56e-04	2.10e-03	up	yes
BPY2C	3.7806	50.2453	4.9939	1.56e-04	2.10e-03	up	yes
SERPINB3	3.7636	36578.7925	1396.6074	4.73e-07	2.45e-05	up	yes
NOS2	3.7622	242.8491	51.3436	1.59e-13	5.90e-11	up	yes
CLDN17	3.7023	84.9623	3.5276	1.91e-07	1.19e-05	up	yes
KRTAP11-1	3.7002	396.8868	175.1779	7.33e-04	6.48e-03	up	yes
APOBEC3A	3.6806	8057.5849	60.8466	1.68e-15	1.04e-12	up	yes
KRTAP3-1	3.6712	219.6981	214.6135	4.22e-05	8.00e-04	up	yes
AOC1	3.6224	3109.7925	35.7730	6.43e-14	2.53e-11	up	yes
UPK3A	3.6134	121.9623	1.9141	2.13e-08	1.93e-06	up	yes
MEIKIN	3.5713	177.0943	3.7178	1.87e-07	1.17e-05	up	yes
GPRC5D	3.5210	172.6226	63.1227	3.32e-10	5.84e-08	up	yes
KRTAP4-6	3.5166	71.6226	137.8037	9.55e-04	7.90e-03	up	yes
KRTAP4-9	3.5138	34.6604	3.1104	8.59e-04	7.29e-03	up	yes
TREML1	3.4773	486.1509	5.0920	1.35e-09	1.94e-07	up	yes
IL17A	3.4731	155.3774	23.8098	2.67e-04	3.11e-03	up	yes
MSMP	3.4500	185.6981	2.4785	2.81e-06	1.00e-04	up	yes
GDA	3.4375	1488.4717	110.6626	7.77e-17	6.72e-14	up	yes
SPINK7	3.4342	2153.6415	30.7055	3.14e-08	2.66e-06	up	yes
ACP7	3.4266	3752.9623	127.4785	7.53e-15	4.02e-12	up	yes
KRTAP2-4	3.4150	30.3019	42.3374	6.98e-04	6.25e-03	up	yes
FOXP3	3.4108	2569.6981	117.4294	2.17e-14	9.37e-12	up	yes
IL17F	3.3599	14.8113	228.5521	3.74e-05	7.34e-04	up	yes
KLK9	3.3246	1449.2453	105.7914	6.70e-06	2.00e-04	up	yes
KLK13	3.3204	2786.9623	213.3313	3.28e-07	1.87e-05	up	yes
TMIGD2	3.3031	173.0755	9.6074	9.28e-12	2.44e-09	up	yes
CRLF2	3.2961	757.8302	12.9755	8.34e-12	2.26e-09	up	yes
SPRR1B	3.2896	106307.8491	3673.8466	2.13e-05	4.86e-04	up	yes
SNCB	3.2846	193.3396	4.0491	5.64e-09	6.56e-07	up	yes
CSTA	3.2558	76014.1132	4161.2209	3.46e-09	4.51e-07	up	yes
APOOL	3.2434	225626.7358	699.6196	6.63e-19	8.79e-16	up	yes
IL2	3.2343	30.5094	14.1350	2.72e-04	3.15e-03	up	yes
AMTN	3.2192	4.7925	5.1779	2.33e-04	2.82e-03	up	yes
SCNN1D	3.2083	3277.0566	69.1104	1.93e-14	8.74e-12	up	yes
FOXD4	3.2031	193.1132	4.3681	2.30e-15	1.35e-12	up	yes
OR4F3	3.1872	5.6226	1.1411	6.50e-04	5.92e-03	up	yes
PLA2G4D	3.1700	5383.0000	232.3558	1.56e-10	2.95e-08	up	yes
HLA-DMA	3.1671	1604.9434	62.7546	2.81e-09	3.78e-07	up	yes
SPINK8	3.1610	28.1132	7.2147	8.72e-09	9.36e-07	up	yes
SPRR5	3.1589	4682.3585	133.7669	1.46e-05	3.65e-04	up	yes
FOXD4L1	3.1552	153.7358	2.4969	8.90e-11	1.86e-08	up	yes
SDCBP2	3.1258	13457.9245	347.4847	5.47e-13	1.80e-10	up	yes
TREX2	3.1162	2364.9245	93.9939	3.70e-12	1.08e-09	up	yes
KCNE5	3.1152	191.1887	26.8037	6.25e-14	2.52e-11	up	yes
TMEM40	3.1095	22754.6038	769.2822	2.50e-10	4.59e-08	up	yes
SRY	3.0989	49.8491	5.8528	8.44e-06	2.40e-04	up	yes
OR9Q2	3.0981	4.8679	1.8037	3.09e-05	6.37e-04	up	yes
KLK6	3.0407	4797.2642	326.7117	8.38e-06	2.40e-04	up	yes
ELOA2	3.0284	17.8679	3.8098	6.76e-05	1.13e-03	up	yes
CASP5	3.0250	29.5094	2.6258	5.71e-07	2.84e-05	up	yes
SUSD3	3.0227	1229.4906	64.7853	3.97e-13	1.36e-10	up	yes
WFDC12	3.0207	2346.1132	213.9877	5.12e-07	2.59e-05	up	yes
MAP1LC3B2	3.0156	2799.3962	75.5767	6.97e-16	4.69e-13	up	yes
C10ORF99	3.0017	3120.6038	292.0368	2.62e-05	5.63e-04	up	yes
SPRR1A	2.9917	37943.7736	1660.7239	1.33e-04	1.85e-03	up	yes
TCHHL1	2.9864	77.4151	40.2699	1.18e-03	9.20e-03	up	yes
IL1RL1	2.9856	6542.5283	96.7975	5.33e-09	6.44e-07	up	yes
MCEMP1	2.9819	131.4717	3.3620	1.45e-06	5.88e-05	up	yes
ATG10	2.9477	10777.6792	320.4724	6.78e-19	8.79e-16	up	yes
RNF223	2.9432	1316.2830	51.7914	1.07e-10	2.13e-08	up	yes
WDR38	2.9402	8.5094	2.1840	1.98e-06	7.47e-05	up	yes
OR2AE1	2.9382	4.4528	1.0184	1.05e-04	1.56e-03	up	yes
EBI3	2.9320	788.0000	37.6871	1.96e-08	1.82e-06	up	yes
CLEC4C	2.9307	47.6415	7.8344	4.22e-09	5.43e-07	up	yes
CD80	2.9302	360.5849	13.5337	1.53e-07	1.00e-05	up	yes
CALN1	2.9184	178.4717	35.1411	1.66e-09	2.33e-07	up	yes
ZPBP2	2.9115	14.9623	6.4601	1.10e-08	1.14e-06	up	yes
ITIH1	2.9084	156.8302	20.7975	1.27e-11	3.24e-09	up	yes
VGF	2.9050	241.7170	324.0245	6.08e-10	9.76e-08	up	yes
ATP12A	2.8950	2199.3208	270.2883	8.68e-05	1.37e-03	up	yes
HRNR	2.8901	742.5849	397.5583	1.29e-08	1.29e-06	up	yes
GPR151	2.8878	6.5472	2.1963	4.87e-05	9.04e-04	up	yes
PNMA5	2.8860	26.0943	2.7485	6.46e-07	3.16e-05	up	yes
RAB33A	2.8827	765.8302	52.7914	1.14e-13	4.35e-11	up	yes
CALHM4	2.8700	23.2642	14.5706	3.18e-04	3.52e-03	up	yes
TGM3	2.8443	7470.0943	486.5644	2.80e-05	5.91e-04	up	yes
TMC5	2.8397	809.3208	53.3313	1.03e-10	2.07e-08	up	yes
OR5B2	2.8342	10.4906	4.5399	1.91e-08	1.79e-06	up	yes
CPLX3	2.8325	45.7358	3.1227	5.16e-07	2.60e-05	up	yes
KRT24	2.8322	13.8868	3.9018	4.90e-04	4.85e-03	up	yes
FGB	2.8260	43.4906	3.1166	1.95e-07	1.21e-05	up	yes
SLC6A14	2.8198	2352.7736	156.1534	2.12e-07	1.28e-05	up	yes
CPA5	2.8110	47.3774	3.5337	3.52e-10	6.08e-08	up	yes
SPINK6	2.8075	370.9245	30.7669	5.51e-05	9.86e-04	up	yes
HEPHL1	2.7958	4987.1509	527.7914	2.52e-06	9.16e-05	up	yes
DHRS9	2.7930	3187.7547	81.2761	3.81e-08	3.14e-06	up	yes
FAM90A11P	2.7842	11.2264	4.0368	1.76e-06	6.84e-05	up	yes
PRSS27	2.7669	1498.6604	103.6503	5.18e-15	2.85e-12	up	yes
NEU2	2.7490	174.9057	14.7730	6.54e-05	1.10e-03	up	yes
ABCG4	2.7404	129.5660	15.9571	5.48e-09	6.45e-07	up	yes
BCL2A1	2.7332	2863.5660	157.9448	2.63e-07	1.55e-05	up	yes
FAM184B	2.7322	45.0189	18.5215	2.77e-08	2.37e-06	up	yes
TMEM154	2.7232	4849.7170	1486.6442	3.41e-11	7.86e-09	up	yes
SLC26A9	2.7220	687.2264	58.5644	8.13e-06	2.35e-04	up	yes
PRSS37	2.7176	6.3774	4.0307	3.39e-06	1.15e-04	up	yes
KRTAP5-8	2.7156	168.4717	44.3988	1.09e-04	1.60e-03	up	yes
SBSN	2.7151	204908.6226	10707.1166	1.24e-05	3.26e-04	up	yes
CCL20	2.7119	4350.5283	235.5399	6.51e-07	3.17e-05	up	yes
MUC4	2.7056	14.3962	3.0000	7.68e-04	6.70e-03	up	yes
GCM2	2.6990	3.8302	1.6503	1.25e-03	9.57e-03	up	yes
SPINK1	2.6946	104.5472	12.0061	1.04e-08	1.08e-06	up	yes
KRT23	2.6799	4684.1698	177.6748	3.16e-06	1.09e-04	up	yes
UTS2	2.6795	224.0189	6.5215	6.79e-06	2.02e-04	up	yes
CSF2RA	2.6734	4643.8868	146.4110	1.98e-11	4.85e-09	up	yes
FAM205A	2.6678	10.6792	4.9141	1.65e-05	3.99e-04	up	yes
TMPRSS11F	2.6617	937.6604	52.9325	1.63e-05	3.95e-04	up	yes
FAM217A	2.6574	10.9057	3.9080	2.30e-06	8.51e-05	up	yes
IL36RN	2.6505	6001.9811	490.4294	1.31e-04	1.84e-03	up	yes
ARSF	2.6435	503.2264	33.7791	3.89e-07	2.10e-05	up	yes
HBA1	2.6399	17069.1698	1645.4356	2.66e-04	3.10e-03	up	yes
SMIM35	2.6396	32.3396	5.3129	9.96e-08	7.09e-06	up	yes
PPM1N	2.6359	523.6415	127.8773	3.27e-11	7.81e-09	up	yes
KCNG3	2.6298	20.2642	7.6135	1.47e-05	3.67e-04	up	yes
SLURP2	2.6216	2958.4151	328.0184	2.31e-04	2.80e-03	up	yes
PARD6B	2.6209	2520.4528	598.5706	1.94e-10	3.59e-08	up	yes
PVRIG	2.6185	613.3019	57.6258	5.59e-10	9.05e-08	up	yes
TMCO5A	2.6181	4.0000	3.0491	2.33e-04	2.82e-03	up	yes
FCMR	2.6154	1369.1887	95.6258	1.52e-12	4.85e-10	up	yes
FERMT1	2.6143	2210.7170	1049.7239	4.64e-09	5.69e-07	up	yes
POTEH	2.6083	13.7170	7.2025	3.34e-07	1.89e-05	up	yes
PROZ	2.6021	12.1132	3.6687	7.64e-09	8.41e-07	up	yes
CATIP	2.5931	799.8113	140.7423	3.03e-10	5.45e-08	up	yes
MROH9	2.5827	15.1887	5.3313	1.20e-05	3.18e-04	up	yes
PHLDA2	2.5792	21760.5094	1406.4908	8.42e-07	3.86e-05	up	yes
CLEC3A	2.5786	160.8491	16.7607	8.36e-08	6.13e-06	up	yes
SFTPC	2.5732	79.9434	9.7791	3.36e-05	6.79e-04	up	yes
AKR1B10	2.5707	2148.1698	273.1472	4.43e-08	3.53e-06	up	yes
HPSE	2.5680	2815.7358	173.6012	1.15e-14	5.50e-12	up	yes
ADGB	2.5614	44.0943	13.5092	1.40e-08	1.38e-06	up	yes
LCE2A	2.5445	4547.4717	265.6564	4.00e-05	7.74e-04	up	yes
HYAL4	2.5410	133.5472	21.7362	2.11e-08	1.92e-06	up	yes
GAST	2.5394	55.7547	4.3374	5.50e-04	5.25e-03	up	yes
DEFB108B	2.5392	3.7170	1.4479	4.59e-04	4.64e-03	up	yes
KRTAP5-11	2.5381	76.6604	26.7607	3.17e-05	6.48e-04	up	yes
NCF4	2.5341	1641.7547	71.6994	1.76e-05	4.17e-04	up	yes
FLT3	2.5280	596.8113	22.7975	1.89e-05	4.40e-04	up	yes
TBL1Y	2.5220	29.0189	6.5153	1.74e-04	2.27e-03	up	yes
SLC11A1	2.5141	692.5660	87.4479	7.46e-12	2.05e-09	up	yes
LRRK2	2.5140	573.7736	274.7117	1.01e-08	1.07e-06	up	yes
PRSS22	2.5103	802.0943	72.0920	8.54e-05	1.35e-03	up	yes
LCN2	2.5084	8069.6415	743.3865	4.71e-04	4.72e-03	up	yes
BCL2L14	2.5078	185.3208	15.0123	4.31e-09	5.45e-07	up	yes
TREML4	2.5056	7.1509	0.9877	9.58e-04	7.91e-03	up	yes
SLC3A1	2.5034	150.7736	25.0368	1.16e-08	1.19e-06	up	yes
PRSS48	2.5022	55.3019	16.2699	1.51e-04	2.05e-03	up	yes
KLK10	2.5015	11491.3962	1116.1227	2.05e-06	7.69e-05	up	yes
KRT17	2.4973	109119.8491	15925.0429	6.00e-05	1.05e-03	up	yes
OR2T11	2.4949	8.2830	3.1534	3.93e-05	7.66e-04	up	yes
HORMAD1	2.4861	119.9057	22.0920	1.96e-05	4.54e-04	up	yes
PLEKHG7	2.4854	39.2453	5.7362	2.31e-06	8.54e-05	up	yes
BFSP2	2.4834	50.2075	3.1840	3.67e-05	7.24e-04	up	yes
ANKRD55	2.4829	108.0189	7.1779	1.26e-10	2.45e-08	up	yes
TGM1	2.4819	2901.3396	265.0491	6.82e-07	3.27e-05	up	yes
PGBD5	2.4817	343.7547	54.0123	3.47e-11	7.86e-09	up	yes
ENTHD1	2.4788	101.6415	8.6196	2.24e-05	5.01e-04	up	yes
TSGA13	2.4753	52.1321	4.0245	6.61e-05	1.11e-03	up	yes
ALK	2.4752	54.5660	16.2822	4.85e-07	2.47e-05	up	yes
CDH26	2.4752	122.9245	22.5153	5.44e-09	6.45e-07	up	yes
GPR139	2.4743	7.1887	4.4172	3.61e-05	7.15e-04	up	yes
TMEM45B	2.4712	3789.5849	245.5031	1.06e-07	7.40e-06	up	yes
SPACA5	2.4678	13.0566	5.0123	1.67e-05	4.02e-04	up	yes
DNAH11	2.4670	111.6604	44.2454	7.17e-09	7.98e-07	up	yes
KCNJ9	2.4669	44.1698	9.4417	7.50e-05	1.22e-03	up	yes
KYNU	2.4644	3834.4151	338.2331	3.43e-11	7.86e-09	up	yes
FOXI3	2.4585	35.6604	18.3374	5.88e-06	1.81e-04	up	yes
IGSF6	2.4563	239.6038	52.5337	2.20e-08	1.99e-06	up	yes
ZNF688	2.4561	1176.8868	211.6748	1.03e-14	5.07e-12	up	yes
IGFL1	2.4546	2047.8302	88.7669	3.09e-04	3.45e-03	up	yes
PKNOX2	2.4467	358.4717	121.7975	1.25e-07	8.46e-06	up	yes
ABCB5	2.4458	86.9811	20.5399	1.59e-07	1.02e-05	up	yes
ARC	2.4407	1007.6604	53.5337	7.58e-08	5.66e-06	up	yes
PCSK5	2.4321	20851.3962	5179.3681	1.38e-07	9.18e-06	up	yes
DENND2C	2.4313	4570.1132	670.6196	4.42e-09	5.53e-07	up	yes
GJB2	2.4311	22316.3962	3118.4663	7.39e-05	1.20e-03	up	yes
PPBP	2.4296	373.5849	6.6687	7.66e-04	6.69e-03	up	yes
SRMS	2.4292	125.5472	17.7055	1.52e-06	6.02e-05	up	yes
PRSS3	2.4277	4751.6604	366.1779	2.18e-07	1.31e-05	up	yes
ALOX12B	2.4245	4735.6038	471.6871	7.58e-04	6.63e-03	up	yes
HMSD	2.4237	372.5849	34.0552	3.16e-10	5.62e-08	up	yes
TCERG1L	2.4224	97.1132	13.0859	1.27e-05	3.31e-04	up	yes
ABCA12	2.4209	7088.3585	1015.1288	6.26e-05	1.07e-03	up	yes
GZMM	2.4189	707.4528	74.1534	4.95e-05	9.10e-04	up	yes
ARG1	2.4130	5597.8868	541.6074	4.90e-05	9.08e-04	up	yes
NWD2	2.4077	188.8868	10.2209	1.51e-05	3.73e-04	up	yes
NEUROD1	2.4050	301.2075	74.5092	3.77e-07	2.04e-05	up	yes
AQP6	2.4029	57.3019	6.2822	1.69e-07	1.08e-05	up	yes
ATP10B	2.3992	1535.7547	235.9877	7.54e-07	3.53e-05	up	yes
TMEM265	2.3986	2169.0000	249.9325	2.38e-05	5.25e-04	up	yes
FANCC	2.3953	1007.9623	391.7055	1.76e-09	2.46e-07	up	yes
A2ML1	2.3930	7843.4906	1544.7853	8.63e-06	2.43e-04	up	yes
ANKUB1	2.3918	43.9623	17.0245	1.52e-07	9.98e-06	up	yes
OR2C3	2.3904	54.0755	15.3374	3.56e-07	1.96e-05	up	yes
DSC2	2.3780	10526.4151	1467.7055	3.71e-05	7.31e-04	up	yes
SLC4A9	2.3760	32.1509	3.7178	1.67e-05	4.02e-04	up	yes
PRR9	2.3748	3684.0943	206.6442	4.37e-04	4.47e-03	up	yes
SLC25A48	2.3721	246.5094	101.3190	8.63e-09	9.32e-07	up	yes
IGSF22	2.3663	647.9623	39.9755	4.03e-08	3.26e-06	up	yes
RIT2	2.3610	9.6604	3.6258	1.07e-03	8.58e-03	up	yes
OR51L1	2.3610	32.2264	10.4785	9.73e-08	6.98e-06	up	yes
STRC	2.3607	149.7736	45.3006	1.60e-08	1.54e-06	up	yes
FCHSD1	2.3593	11072.9057	685.3313	1.47e-10	2.81e-08	up	yes
SIRPG	2.3575	351.0000	35.3313	2.15e-05	4.88e-04	up	yes
SOCS1	2.3574	2767.4340	205.2270	1.64e-09	2.32e-07	up	yes
DPP6	2.3547	397.8302	55.6503	2.53e-08	2.22e-06	up	yes
PSORS1C1	2.3542	1196.7547	45.3252	1.96e-07	1.21e-05	up	yes
C1ORF141	2.3503	18.3208	5.5031	1.25e-06	5.33e-05	up	yes
IL26	2.3453	52.7358	31.0429	4.94e-04	4.88e-03	up	yes
PLET1	2.3428	20.7925	4.5583	2.51e-04	2.97e-03	up	yes
C12ORF56	2.3419	157.6226	24.2945	3.42e-08	2.87e-06	up	yes
CHRNA6	2.3376	113.1887	3.4601	3.57e-04	3.81e-03	up	yes
GALK2	2.3361	1335.8679	356.1779	4.50e-13	1.51e-10	up	yes
SLC9B1	2.3341	377.9811	26.3374	4.63e-11	1.04e-08	up	yes
GNGT2	2.3341	161.0943	21.3558	4.85e-08	3.81e-06	up	yes
ZNF80	2.3340	171.1698	4.0368	7.99e-06	2.31e-04	up	yes
HRH3	2.3331	30.6226	3.0675	1.27e-04	1.79e-03	up	yes
PTPRCAP	2.3328	4689.5849	615.2393	8.46e-05	1.34e-03	up	yes
SLC5A1	2.3321	2219.7736	258.2209	1.11e-05	2.99e-04	up	yes
APOC2	2.3310	426.3585	36.9325	1.38e-06	5.65e-05	up	yes
BNIP5	2.3299	16.5849	4.1902	2.76e-04	3.17e-03	up	yes
LPAR4	2.3290	1177.3774	414.9939	2.64e-05	5.66e-04	up	yes
TRPC3	2.3232	136.2075	48.1411	7.08e-09	7.98e-07	up	yes
SMCO2	2.3220	79.6415	6.8834	8.88e-10	1.39e-07	up	yes
REC114	2.3195	15.4340	3.7423	2.30e-04	2.79e-03	up	yes
PRSS1	2.3191	19.7925	2.4233	2.90e-04	3.29e-03	up	yes
TTC39A	2.3171	1238.4340	138.1718	3.75e-08	3.12e-06	up	yes
CLNK	2.3145	267.9811	28.0613	8.66e-08	6.28e-06	up	yes
ADAP2	2.3097	2883.1132	167.6380	1.84e-07	1.16e-05	up	yes
TMPRSS12	2.3093	93.3019	12.2883	1.51e-06	6.02e-05	up	yes
H4-16	2.3093	694.2642	118.8589	1.51e-07	9.95e-06	up	yes
LRGUK	2.3070	51.6226	15.2331	2.50e-07	1.48e-05	up	yes
LIPN	2.3050	1716.5849	157.8712	3.13e-04	3.48e-03	up	yes
DUX4	2.3043	8.7358	2.0675	4.24e-05	8.03e-04	up	yes
SMIM34	2.2972	30.6038	4.1534	3.65e-06	1.21e-04	up	yes
SDR9C7	2.2923	3656.4151	247.7117	2.48e-04	2.95e-03	up	yes
ERICH6	2.2911	8.9057	3.4785	7.35e-07	3.46e-05	up	yes
MT1G	2.2881	2236.0943	186.7730	1.96e-06	7.44e-05	up	yes
MIP	2.2845	16.2642	6.2515	3.10e-07	1.77e-05	up	yes
TMEM86A	2.2841	2298.1321	271.6871	4.08e-07	2.17e-05	up	yes
C2CD4A	2.2840	163.3962	22.6135	1.53e-08	1.47e-06	up	yes
OCLN	2.2818	2042.8868	322.6564	3.48e-09	4.51e-07	up	yes
GPLD1	2.2816	720.7547	214.6503	4.37e-08	3.50e-06	up	yes
H3C1	2.2805	303.8491	52.9080	8.71e-05	1.37e-03	up	yes
BOLL	2.2778	61.7358	11.2761	4.47e-05	8.41e-04	up	yes
CALY	2.2777	39.0943	9.7730	1.24e-05	3.26e-04	up	yes
TBATA	2.2776	28.6792	3.7301	7.63e-05	1.23e-03	up	yes
SLC16A10	2.2768	2172.9434	343.3681	4.58e-08	3.61e-06	up	yes
TRPV3	2.2689	3740.0566	317.9571	3.64e-07	1.99e-05	up	yes
LOXHD1	2.2686	32.4151	12.2270	2.16e-04	2.66e-03	up	yes
OR2L3	2.2682	15.9811	6.9939	3.50e-05	6.99e-04	up	yes
CD86	2.2659	2033.2075	97.3620	9.13e-05	1.41e-03	up	yes
OR4P4	2.2643	35.9245	10.1840	1.94e-06	7.40e-05	up	yes
KCNV2	2.2579	15.6981	5.4969	3.37e-05	6.81e-04	up	yes
RRH	2.2572	17.6038	9.5644	3.11e-06	1.08e-04	up	yes
MUC16	2.2560	168.5849	73.0982	6.28e-04	5.77e-03	up	yes
PTPN5	2.2547	82.3585	19.1043	1.05e-05	2.86e-04	up	yes
RAPSN	2.2526	59.3019	7.1718	1.99e-08	1.85e-06	up	yes
TVP23A	2.2512	1526.6415	63.5890	1.81e-08	1.72e-06	up	yes
MLANA	2.2503	5312.3396	657.4785	2.68e-06	9.66e-05	up	yes
LENG1	2.2484	949.8868	75.5337	1.02e-03	8.25e-03	up	yes
S1PR4	2.2450	1440.1887	92.0675	7.63e-05	1.23e-03	up	yes
CARD18	2.2450	2685.5094	217.8896	1.84e-05	4.30e-04	up	yes
SULT2B1	2.2438	10340.1698	679.6442	2.47e-05	5.40e-04	up	yes
TREM2	2.2427	333.5472	26.5337	2.33e-05	5.17e-04	up	yes
RNF212B	2.2400	9.0000	3.7607	3.30e-06	1.13e-04	up	yes
LAMP3	2.2398	3666.1887	224.8834	1.51e-06	6.02e-05	up	yes
EFNA2	2.2393	502.2642	304.7055	1.26e-04	1.78e-03	up	yes
KIAA0319	2.2381	83.8679	18.6687	2.05e-06	7.69e-05	up	yes
LGALS9B	2.2374	117.1132	17.4724	6.89e-05	1.14e-03	up	yes
SSX7	2.2371	11.6981	4.9202	7.06e-05	1.17e-03	up	yes
C16ORF96	2.2321	13.2642	5.0491	2.45e-05	5.37e-04	up	yes
OR5T2	2.2298	9.2264	3.8896	7.18e-05	1.18e-03	up	yes
OSM	2.2279	106.0943	19.9325	5.11e-04	5.00e-03	up	yes
PDZK1IP1	2.2249	5609.7547	580.2822	9.66e-05	1.47e-03	up	yes
KCNJ10	2.2228	21.2075	9.1595	1.37e-06	5.62e-05	up	yes
SCNN1G	2.2190	424.0000	43.2270	9.85e-07	4.37e-05	up	yes
FPR1	2.2183	182.9245	57.8344	6.01e-08	4.68e-06	up	yes
PGLYRP3	2.2182	1700.7925	261.6994	1.86e-05	4.35e-04	up	yes
PGLYRP2	2.2177	41.5283	6.0000	9.25e-05	1.43e-03	up	yes
DKK4	2.2171	19.8113	1.6258	1.56e-05	3.80e-04	up	yes
RNF225	2.2154	240.8302	33.4663	7.17e-04	6.37e-03	up	yes
IL36B	2.2101	102.3585	23.9632	1.47e-04	2.01e-03	up	yes
FUT7	2.2090	345.5849	114.0061	3.04e-04	3.41e-03	up	yes
FOLH1	2.2087	104.7736	25.1534	4.03e-06	1.34e-04	up	yes
CYP4Z1	2.2052	37.2075	10.6748	5.87e-04	5.49e-03	up	yes
CLDN4	2.2049	15770.4340	1400.0798	1.06e-06	4.63e-05	up	yes
PGAM4	2.2036	1008.4528	10.5460	6.14e-05	1.06e-03	up	yes
OR2A1	2.2021	27.3019	16.3497	2.55e-05	5.51e-04	up	yes
GUCY2C	2.2012	83.6415	18.1104	1.07e-04	1.57e-03	up	yes
CYSRT1	2.2008	1788.7736	192.4969	6.43e-07	3.15e-05	up	yes
G6PC1	2.1967	82.4528	20.6442	3.08e-07	1.77e-05	up	yes
MYOG	2.1964	11.1321	4.7301	1.61e-04	2.15e-03	up	yes
CHRNA2	2.1944	34.3019	8.9693	8.19e-06	2.36e-04	up	yes
PEAK3	2.1878	289.4528	21.1043	1.44e-08	1.40e-06	up	yes
PGLYRP4	2.1874	1043.2264	122.9755	4.24e-04	4.35e-03	up	yes
FKBP15	2.1841	4767.5660	1148.8773	1.38e-10	2.67e-08	up	yes
