gene_symbol	log2_fold_change	mean_test	mean_control	pvalue	pvalue_adjusted	direction	significant
FOXC2	-6.4894	0.1633	35.0163	1.21e-12	8.04e-12	down	yes
SERTAD4	-6.4542	0.6429	7.6667	2.43e-21	4.33e-20	down	yes
OR5AP2	-6.4471	0.1224	1.9268	1.32e-06	4.71e-06	down	yes
AQP4	-6.4388	0.5204	4.4146	1.36e-08	6.09e-08	down	yes
GPR37	-6.4094	0.4745	22.0569	2.22e-18	2.73e-17	down	yes
C4ORF54	-6.3779	0.4592	5.8862	8.55e-15	7.14e-14	down	yes
DSG4	-6.3702	0.2806	4.1057	2.66e-09	1.29e-08	down	yes
MPDZ	-6.3286	2.4082	96.3415	3.85e-31	3.15e-29	down	yes
KRT222	-6.3159	0.4847	4.0325	1.44e-17	1.62e-16	down	yes
IL22RA2	-6.2820	0.3469	2.3089	2.32e-12	1.51e-11	down	yes
BNC1	-6.2724	0.8724	24.5772	1.17e-07	4.73e-07	down	yes
DAZ3	-6.2629	0.0408	1.3659	6.61e-04	1.61e-03	down	yes
GPR158	-6.2610	0.3878	6.0000	4.78e-14	3.71e-13	down	yes
POSTN	-6.2206	0.9490	28.4553	1.24e-11	7.54e-11	down	yes
SI	-6.2181	0.4133	5.5691	1.07e-10	5.92e-10	down	yes
MBL2	-6.1717	0.1480	2.4715	9.08e-07	3.30e-06	down	yes
CACNA2D1	-6.1611	1.2143	33.0244	1.82e-20	2.86e-19	down	yes
THEG	-6.1604	0.1837	1.7886	7.56e-11	4.26e-10	down	yes
CLCA2	-6.1555	0.6888	3.1626	1.62e-15	1.45e-14	down	yes
OR5H8	-6.1526	0.1378	1.5122	3.98e-06	1.34e-05	down	yes
SERPINB7	-6.1441	1.7500	36.7073	2.17e-12	1.41e-11	down	yes
RASL12	-6.1416	2.4592	1.7073	1.99e-13	1.44e-12	down	yes
SPINK5	-6.1372	8.3061	10.1870	1.81e-10	9.85e-10	down	yes
BRINP3	-6.1361	0.3112	2.8293	4.51e-14	3.51e-13	down	yes
DEFB118	-6.1173	0.1531	1.8211	1.02e-09	5.14e-09	down	yes
CLEC14A	-6.1137	1.0153	828.1138	2.09e-16	2.06e-15	down	yes
OR52A5	-6.1120	0.8776	2.9187	2.38e-07	9.30e-07	down	yes
MMP10	-6.0979	0.2092	173.7642	2.34e-09	1.13e-08	down	yes
RBM46	-6.0953	0.5765	7.8374	2.47e-12	1.60e-11	down	yes
OR7E24	-6.0918	0.1888	1.6179	9.37e-12	5.78e-11	down	yes
JPH1	-6.0863	0.7704	8.6911	1.95e-26	7.20e-25	down	yes
IGBP1P2	-6.0791	0.2755	1.8049	7.51e-15	6.32e-14	down	yes
NPY5R	-6.0769	0.1531	1.7073	6.60e-05	1.89e-04	down	yes
TRIM49	-6.0565	0.2041	2.5447	8.57e-11	4.80e-10	down	yes
HMGCLL1	-6.0379	0.2500	3.6260	2.56e-09	1.24e-08	down	yes
GABRA6	-6.0234	0.5000	3.2195	2.08e-20	3.25e-19	down	yes
MSGN1	-6.0135	0.0714	1.6098	3.72e-08	1.58e-07	down	yes
AMY1B	-6.0073	0.4082	2.1463	1.20e-12	8.01e-12	down	yes
TREH	-6.0005	0.5051	8.5041	3.96e-16	3.81e-15	down	yes
PHYHIPL	-5.9762	0.3776	4.8211	7.76e-10	3.94e-09	down	yes
SLC17A4	-5.9647	0.9490	5.8537	1.81e-19	2.53e-18	down	yes
DSPP	-5.9565	0.2092	2.2846	4.35e-08	1.84e-07	down	yes
OR5D3P	-5.9449	0.1378	1.7642	8.34e-05	2.34e-04	down	yes
SLCO1B1	-5.9442	0.2245	3.6992	1.02e-09	5.14e-09	down	yes
DAZ4	-5.9435	0.0255	2.9593	3.63e-03	7.76e-03	down	yes
SPATA31D3	-5.9398	0.4082	3.5203	4.09e-05	1.20e-04	down	yes
PABPC5	-5.9385	0.1378	6.7724	3.84e-10	2.01e-09	down	yes
OR6P1	-5.9361	0.1429	1.8293	1.62e-04	4.34e-04	down	yes
KRTAP24-1	-5.9341	0.1888	1.5285	3.30e-04	8.45e-04	down	yes
MYH1	-5.9303	0.4847	6.2114	5.74e-08	2.39e-07	down	yes
TPD52L3	-5.9273	0.1888	1.6016	3.76e-08	1.60e-07	down	yes
TRIM49C	-5.9078	0.1633	1.2114	6.37e-07	2.36e-06	down	yes
OR4D10	-5.9054	0.2602	2.4472	7.21e-07	2.66e-06	down	yes
OR8J2	-5.9054	0.2092	1.8374	2.25e-04	5.92e-04	down	yes
KRT27	-5.9049	0.0765	1.8537	7.98e-08	3.28e-07	down	yes
DSG1	-5.8953	0.5051	3.8618	3.27e-10	1.72e-09	down	yes
OR4A16	-5.8912	0.0663	1.1220	2.18e-04	5.73e-04	down	yes
OR4M1	-5.8901	0.5255	4.7236	3.64e-15	3.15e-14	down	yes
CSF2	-5.8838	2.6276	1583.4146	8.00e-32	7.91e-30	down	yes
FAM47A	-5.8830	0.1224	1.0325	1.51e-04	4.09e-04	down	yes
MGAT4D	-5.8829	0.2398	2.9350	7.62e-08	3.14e-07	down	yes
C18ORF63	-5.8746	0.1837	2.6260	6.97e-09	3.21e-08	down	yes
TMPRSS11F	-5.8731	0.3878	2.6098	5.11e-08	2.14e-07	down	yes
DRD1	-5.8718	0.1837	2.4878	1.98e-05	6.08e-05	down	yes
GABRG1	-5.8689	0.4337	3.4959	6.72e-10	3.43e-09	down	yes
BRINP1	-5.8557	0.4082	12.2683	3.65e-07	1.39e-06	down	yes
PLSCR5	-5.8434	0.1327	1.2276	3.04e-05	9.12e-05	down	yes
LRRC3B	-5.8411	1.3061	9.5447	3.42e-21	5.96e-20	down	yes
OPN5	-5.8388	0.2347	2.2520	2.06e-07	8.09e-07	down	yes
CCDC178	-5.8318	0.1837	5.2683	1.24e-09	6.16e-09	down	yes
AZGP1	-5.8278	0.6020	91.7480	6.26e-16	5.87e-15	down	yes
TMEM74	-5.8225	0.5306	5.4878	3.30e-21	5.77e-20	down	yes
TMEM196	-5.8108	0.2092	3.8618	7.76e-06	2.53e-05	down	yes
NXPH2	-5.7993	0.2806	2.4309	1.02e-08	4.61e-08	down	yes
GPRC6A	-5.7944	0.1735	1.8537	3.59e-07	1.37e-06	down	yes
NHLH2	-5.7785	0.6224	9.9350	4.02e-15	3.46e-14	down	yes
NTMT2	-5.7764	0.7296	3.5528	9.11e-20	1.32e-18	down	yes
NPY2R	-5.7754	1.5102	1.3171	5.92e-07	2.20e-06	down	yes
SLC25A31	-5.7711	0.2143	2.3984	5.65e-06	1.87e-05	down	yes
CRISP1	-5.7664	0.1990	2.1382	2.02e-07	7.97e-07	down	yes
CBLN4	-5.7646	0.2398	3.0163	6.70e-05	1.91e-04	down	yes
STC2	-5.7635	1.4796	75.5366	2.25e-17	2.47e-16	down	yes
PLA2G12B	-5.7611	0.2194	1.5610	3.22e-15	2.80e-14	down	yes
RPE65	-5.7465	0.3724	2.8455	3.15e-09	1.51e-08	down	yes
GRID2	-5.7419	0.5867	5.8537	1.06e-09	5.33e-09	down	yes
SCEL	-5.7405	0.8367	7.5447	3.98e-07	1.51e-06	down	yes
IL2	-5.7368	5.9592	1326.4228	4.66e-26	1.63e-24	down	yes
LRCH2	-5.7341	0.6837	7.9675	6.06e-20	8.96e-19	down	yes
LHCGR	-5.7314	0.3214	4.5041	3.68e-10	1.93e-09	down	yes
MOGAT2	-5.7304	0.1684	2.2439	8.36e-09	3.82e-08	down	yes
GOLGA8DP	-5.7201	0.4286	2.1951	1.66e-09	8.15e-09	down	yes
EDDM3A	-5.7179	0.1837	1.4065	1.46e-08	6.48e-08	down	yes
CHRM1	-5.7133	0.2143	1.8455	3.32e-07	1.27e-06	down	yes
GMCL2	-5.6970	0.4490	1.9268	2.54e-16	2.48e-15	down	yes
MMP16	-5.6954	2.1276	38.4715	2.14e-27	9.20e-26	down	yes
SLCO1B3	-5.6903	0.8622	3.8293	1.06e-08	4.80e-08	down	yes
OR10D3	-5.6880	0.8673	3.1382	1.28e-05	4.03e-05	down	yes
TSPAN8	-5.6841	1.5051	3.1220	5.28e-07	1.98e-06	down	yes
OR5W2	-5.6764	0.0510	0.9837	2.01e-05	6.18e-05	down	yes
PPFIA2	-5.6742	0.6684	7.3089	6.82e-12	4.27e-11	down	yes
RSPO3	-5.6721	0.2908	4.4634	9.61e-17	9.84e-16	down	yes
STXBP5L	-5.6651	1.1224	11.3577	4.89e-18	5.81e-17	down	yes
SPZ1	-5.6641	0.1633	1.6504	5.44e-05	1.57e-04	down	yes
ITGB6	-5.6533	1.0561	8.0325	2.93e-24	8.07e-23	down	yes
OR7A5	-5.6474	0.3827	2.4146	4.17e-08	1.76e-07	down	yes
NR2F2	-5.6457	1.4133	78.3333	1.51e-27	6.66e-26	down	yes
DAOA	-5.6424	0.4796	2.5610	4.79e-17	5.03e-16	down	yes
DEFB132	-5.6392	0.1633	1.7236	8.51e-07	3.11e-06	down	yes
EDNRA	-5.6377	0.4286	3.7154	9.52e-15	7.90e-14	down	yes
SYT10	-5.6309	1.9796	3.7886	1.31e-20	2.12e-19	down	yes
OR6F1	-5.6271	0.2959	1.0813	2.31e-07	9.03e-07	down	yes
CGB2	-5.6251	0.8469	3.0976	2.46e-10	1.31e-09	down	yes
DCAF4L2	-5.6232	0.2194	2.3659	1.79e-09	8.77e-09	down	yes
TMEFF2	-5.6218	0.6173	5.5528	2.31e-16	2.26e-15	down	yes
SPATA31D4	-5.6118	0.2857	1.4390	1.84e-07	7.27e-07	down	yes
TRIM43	-5.6102	0.1684	2.3740	1.08e-04	2.99e-04	down	yes
KPNA7	-5.6098	0.0204	1.0163	1.71e-03	3.88e-03	down	yes
ADGRF5	-5.6096	1.8061	528.7886	5.67e-24	1.49e-22	down	yes
CNGA3	-5.6092	0.4847	3.2358	4.39e-08	1.85e-07	down	yes
NLRP13	-5.6090	0.4592	2.4065	9.50e-11	5.29e-10	down	yes
CCKBR	-5.6054	0.4643	2.6341	6.20e-15	5.24e-14	down	yes
FAM237B	-5.5963	0.1990	2.6585	2.95e-09	1.41e-08	down	yes
OPALIN	-5.5883	0.3878	3.4309	2.67e-10	1.42e-09	down	yes
GOLGA6L24P	-5.5882	0.3827	2.0000	2.77e-03	6.06e-03	down	yes
OR51B4	-5.5867	0.1224	1.4878	4.91e-09	2.30e-08	down	yes
PTPRT	-5.5785	1.2143	11.4309	3.98e-10	2.09e-09	down	yes
ZNF679	-5.5722	0.1531	1.5772	3.05e-07	1.17e-06	down	yes
MAGEB4	-5.5670	0.1224	0.8293	5.26e-04	1.31e-03	down	yes
TRPC4	-5.5669	0.2194	7.8862	1.37e-08	6.13e-08	down	yes
TYRP1	-5.5624	0.1173	2.5935	2.77e-07	1.07e-06	down	yes
AGR3	-5.5622	0.4082	1.3496	1.66e-08	7.35e-08	down	yes
MYH13	-5.5509	0.5969	5.1951	7.11e-10	3.63e-09	down	yes
DACT2	-5.5451	0.2602	2.6585	1.22e-08	5.47e-08	down	yes
POTEB	-5.5427	0.3724	1.9675	8.47e-07	3.10e-06	down	yes
EDDM3B	-5.5340	0.0816	1.1382	2.43e-07	9.49e-07	down	yes
NME5	-5.5333	0.5510	6.1301	4.85e-16	4.62e-15	down	yes
KCND2	-5.5327	0.4235	5.4959	2.89e-09	1.39e-08	down	yes
NMUR2	-5.5286	0.3469	3.7886	6.49e-17	6.72e-16	down	yes
PNLIPRP3	-5.5258	0.2806	1.5935	1.98e-08	8.72e-08	down	yes
SPHKAP	-5.5220	0.6378	6.2276	2.95e-07	1.14e-06	down	yes
SH3GL2	-5.5206	0.5051	3.2927	4.31e-12	2.74e-11	down	yes
MYL1	-5.5188	0.2449	15.1301	1.84e-06	6.44e-06	down	yes
TOPAZ1	-5.5166	0.5816	3.6911	7.19e-14	5.46e-13	down	yes
CNTNAP4	-5.5092	0.5153	4.4797	9.18e-13	6.22e-12	down	yes
OR6C65	-5.5090	0.2296	1.0488	1.72e-05	5.34e-05	down	yes
FLRT3	-5.5038	2.2704	8.9024	6.57e-16	6.14e-15	down	yes
SLCO6A1	-5.5023	0.7143	1.9431	6.47e-08	2.68e-07	down	yes
PIWIL1	-5.4937	0.6122	2.0650	1.56e-11	9.40e-11	down	yes
ADAMTS20	-5.4848	0.6990	6.8862	1.25e-08	5.60e-08	down	yes
SLITRK6	-5.4830	0.2143	1.7724	2.97e-06	1.02e-05	down	yes
FAM240A	-5.4800	1.1582	3.0569	1.17e-17	1.32e-16	down	yes
NPSR1	-5.4752	0.3622	3.1626	6.01e-11	3.43e-10	down	yes
TAS2R16	-5.4664	0.0408	0.7317	3.90e-03	8.28e-03	down	yes
KLHL1	-5.4662	1.1531	2.0081	2.61e-07	1.01e-06	down	yes
TRDN	-5.4633	0.9592	7.5610	2.20e-19	3.05e-18	down	yes
SST	-5.4564	0.0306	0.7480	2.23e-03	4.97e-03	down	yes
MYH4	-5.4551	0.3673	4.1138	1.60e-09	7.86e-09	down	yes
CPN1	-5.4545	0.2041	1.4228	2.30e-11	1.36e-10	down	yes
C11ORF87	-5.4537	0.5663	104.2927	1.22e-06	4.37e-06	down	yes
AADAC	-5.4522	0.2755	2.9268	2.10e-09	1.03e-08	down	yes
TENM3	-5.4512	1.9082	14.0813	7.89e-18	9.12e-17	down	yes
CNTN5	-5.4495	1.1480	6.4797	1.97e-07	7.76e-07	down	yes
NPY4R	-5.4411	0.2194	1.1870	5.62e-04	1.39e-03	down	yes
STYXL2	-5.4411	0.4439	6.8618	4.05e-15	3.48e-14	down	yes
FSTL5	-5.4387	0.4031	6.0081	7.25e-14	5.50e-13	down	yes
FOXF1	-5.4387	1.0969	8.4228	5.76e-19	7.54e-18	down	yes
OR4C16	-5.4371	0.0612	1.1057	1.52e-03	3.50e-03	down	yes
TPTE	-5.4367	1.2908	4.7480	3.88e-25	1.21e-23	down	yes
VAT1L	-5.4352	1.5510	23.7236	1.26e-18	1.59e-17	down	yes
ST8SIA2	-5.4326	0.7551	12.7398	8.46e-11	4.74e-10	down	yes
IL13RA2	-5.4324	0.2041	1.2683	2.76e-08	1.19e-07	down	yes
PTPRQ	-5.4267	0.6327	8.9756	1.72e-11	1.03e-10	down	yes
RIMS4	-5.4258	10.0306	45.4472	3.23e-25	1.02e-23	down	yes
C10ORF120	-5.4247	0.1173	0.8862	9.04e-05	2.53e-04	down	yes
SLC17A2	-5.4244	0.2500	2.6667	2.53e-08	1.10e-07	down	yes
GALNTL5	-5.4214	1.1224	20.0569	7.90e-22	1.52e-20	down	yes
MAGEB3	-5.4211	0.7755	2.2033	5.59e-20	8.29e-19	down	yes
TBX5	-5.4193	3.9694	3.8049	1.86e-15	1.65e-14	down	yes
MYH2	-5.4188	0.9949	6.6016	2.30e-07	9.00e-07	down	yes
RGS21	-5.4171	0.0612	0.9512	2.18e-06	7.58e-06	down	yes
TAFA4	-5.4170	0.2857	2.6585	1.14e-12	7.64e-12	down	yes
HMGCS2	-5.4151	1.2347	2.4309	1.31e-08	5.87e-08	down	yes
DMRT3	-5.4099	1.7908	1.9268	1.13e-06	4.07e-06	down	yes
LRFN5	-5.4055	0.7857	7.1220	2.65e-19	3.63e-18	down	yes
BBOX1	-5.4029	0.4133	2.2114	2.19e-07	8.56e-07	down	yes
PRAMEF12	-5.4022	0.3878	3.2033	5.08e-05	1.48e-04	down	yes
FABP1	-5.4007	0.4388	1.6667	3.89e-09	1.84e-08	down	yes
PRAMEF14	-5.3964	0.4133	2.2520	7.27e-05	2.06e-04	down	yes
KCNG3	-5.3948	1.1224	3.6423	4.17e-19	5.60e-18	down	yes
RHO	-5.3933	0.3469	3.0244	8.42e-16	7.75e-15	down	yes
GABRQ	-5.3912	0.3163	3.8780	4.65e-10	2.42e-09	down	yes
KRT24	-5.3834	0.2704	1.4959	5.99e-08	2.49e-07	down	yes
BPIFC	-5.3826	0.4796	2.6341	2.69e-12	1.74e-11	down	yes
SYNPR	-5.3723	0.5918	3.5285	7.46e-16	6.93e-15	down	yes
IL1RAPL2	-5.3717	0.1684	3.8618	1.38e-06	4.92e-06	down	yes
ADAD1	-5.3696	0.4337	2.1382	2.98e-10	1.58e-09	down	yes
KRT32	-5.3676	0.1480	1.6098	1.61e-05	5.04e-05	down	yes
KIF4B	-5.3629	0.6378	2.8049	1.51e-16	1.51e-15	down	yes
GRM5	-5.3622	0.6224	4.3171	2.70e-16	2.64e-15	down	yes
MDFIC2	-5.3580	0.1429	1.8943	3.92e-06	1.33e-05	down	yes
ADAMTS12	-5.3580	1.1224	7.0650	1.11e-21	2.08e-20	down	yes
CDX4	-5.3567	0.1020	0.7724	2.62e-04	6.82e-04	down	yes
HTR1E	-5.3557	0.2551	1.6260	5.69e-06	1.89e-05	down	yes
ZNF536	-5.3551	2.0765	9.0569	7.92e-22	1.52e-20	down	yes
GPC6	-5.3516	0.9592	15.5041	1.35e-18	1.70e-17	down	yes
GRIA2	-5.3467	0.4796	3.9268	1.65e-07	6.56e-07	down	yes
OR10Q1	-5.3456	0.1020	0.8943	1.05e-04	2.92e-04	down	yes
TMEM47	-5.3428	1.2143	41.2439	2.70e-10	1.44e-09	down	yes
ACTBL2	-5.3400	0.4184	1.6423	3.03e-09	1.45e-08	down	yes
HS6ST3	-5.3383	1.1020	8.4065	1.99e-13	1.44e-12	down	yes
S100A7A	-5.3366	0.3214	2.2195	1.57e-11	9.48e-11	down	yes
AGXT2	-5.3340	0.8418	3.2195	3.70e-09	1.76e-08	down	yes
LEUTX	-5.3313	0.2551	1.2033	3.74e-05	1.11e-04	down	yes
GKN2	-5.3298	0.5153	1.6423	2.63e-13	1.89e-12	down	yes
OR11H2	-5.3289	0.0357	1.1463	1.61e-04	4.32e-04	down	yes
HNRNPCL3	-5.3234	0.2602	2.5041	1.68e-05	5.23e-05	down	yes
OR13C8	-5.3224	0.0255	0.7398	1.05e-04	2.92e-04	down	yes
ATP6V0A4	-5.3216	1.4949	5.3171	1.74e-20	2.74e-19	down	yes
TMEM100	-5.3194	0.1837	82.5366	4.66e-08	1.96e-07	down	yes
GOT1L1	-5.3107	0.1071	1.5366	1.81e-05	5.62e-05	down	yes
CYP4Z1	-5.3039	0.4796	2.9593	1.95e-08	8.58e-08	down	yes
CLDN8	-5.3023	0.1888	1.9593	3.26e-03	7.03e-03	down	yes
RERGL	-5.2923	0.3316	1.4390	8.40e-10	4.26e-09	down	yes
OR4K3	-5.2858	0.1582	0.8293	9.42e-05	2.63e-04	down	yes
SMIM21	-5.2784	0.3878	2.3008	7.06e-10	3.60e-09	down	yes
CDH11	-5.2692	3.3622	22.3008	1.51e-31	1.35e-29	down	yes
KRT40	-5.2691	0.3061	2.2520	6.89e-13	4.73e-12	down	yes
SERPINB13	-5.2689	0.8316	3.2764	3.44e-11	2.00e-10	down	yes
POTEA	-5.2633	0.0663	1.5366	7.03e-06	2.30e-05	down	yes
SLC22A24	-5.2604	0.2398	1.8293	2.25e-05	6.86e-05	down	yes
LYPD6	-5.2576	0.4388	5.3740	3.63e-17	3.87e-16	down	yes
SLC15A5	-5.2545	0.3214	3.0325	2.99e-06	1.02e-05	down	yes
OR4F5	-5.2527	0.3316	1.2764	9.95e-04	2.36e-03	down	yes
NTS	-5.2379	0.1633	1.9837	8.96e-08	3.66e-07	down	yes
IP6K3	-5.2366	0.1684	2.1382	5.81e-11	3.32e-10	down	yes
RAD51AP2	-5.2361	0.1224	1.3089	4.18e-05	1.23e-04	down	yes
TTC29	-5.2359	0.3010	4.1138	8.86e-08	3.63e-07	down	yes
OR2G3	-5.2330	0.2245	1.0813	2.32e-05	7.07e-05	down	yes
OR52R1	-5.2327	0.1939	0.9512	7.80e-05	2.20e-04	down	yes
CAP2	-5.2319	0.9898	49.4309	1.30e-18	1.63e-17	down	yes
SGCZ	-5.2299	0.2653	3.2114	4.08e-11	2.35e-10	down	yes
ADAM2	-5.2251	0.1122	0.8049	5.81e-06	1.92e-05	down	yes
MAGI1	-5.2238	4.2143	32.2276	2.98e-41	1.79e-38	down	yes
RFX6	-5.2237	0.5306	3.0163	6.07e-07	2.26e-06	down	yes
OR9K2	-5.2213	1.2602	0.9106	2.72e-06	9.38e-06	down	yes
FGA	-5.2168	0.6531	2.9350	2.84e-07	1.09e-06	down	yes
TEX26	-5.2151	0.2296	1.4959	8.57e-07	3.13e-06	down	yes
NRAP	-5.2143	1.3367	5.0894	1.64e-10	8.94e-10	down	yes
MS4A13	-5.2125	0.1122	1.1463	1.38e-06	4.93e-06	down	yes
BSPH1	-5.2099	0.0867	0.8374	6.57e-05	1.88e-04	down	yes
BRINP2	-5.2081	0.5204	3.4228	1.05e-12	7.02e-12	down	yes
NDST4	-5.2075	1.0153	3.9512	1.59e-21	2.95e-20	down	yes
SLCO1C1	-5.2073	0.4031	4.0976	9.53e-10	4.80e-09	down	yes
RBP3	-5.2070	1.1224	3.6911	1.10e-13	8.23e-13	down	yes
SOX17	-5.2037	0.2449	115.5203	1.37e-08	6.12e-08	down	yes
OR5H6	-5.2024	0.1939	0.8943	5.82e-05	1.68e-04	down	yes
OR8S1	-5.2017	0.1173	0.7967	1.70e-05	5.30e-05	down	yes
TRPC5OS	-5.1967	0.5867	2.6504	1.81e-13	1.32e-12	down	yes
PLCZ1	-5.1944	0.6276	3.4146	7.48e-16	6.94e-15	down	yes
MYOCD	-5.1923	1.0306	5.4228	3.44e-11	2.00e-10	down	yes
GCG	-5.1902	0.2092	2.3171	3.16e-06	1.08e-05	down	yes
OR13C5	-5.1897	0.1735	1.1463	3.13e-09	1.50e-08	down	yes
TLL1	-5.1800	1.0765	11.3252	2.70e-17	2.92e-16	down	yes
ANO1	-5.1792	0.3367	3.1870	7.49e-09	3.44e-08	down	yes
DDX4	-5.1773	1.6020	4.9350	3.78e-17	4.02e-16	down	yes
KLK8	-5.1769	0.3010	0.9187	2.03e-06	7.08e-06	down	yes
THSD7B	-5.1677	0.9643	6.6829	1.36e-10	7.46e-10	down	yes
TRPC7	-5.1662	0.3112	2.1138	4.49e-09	2.12e-08	down	yes
