study_id,study_title,assay,go_id,go_term_name,adj_pvalue
E-GEOD-40643,E-GEOD-40643,https://spoke.ucsf.edu/genelab/E-GEOD-40643-g1_g2,GO:0070125,mitochondrial translational elongation,9.948565E-14
E-GEOD-45684,E-GEOD-45684,https://spoke.ucsf.edu/genelab/E-GEOD-45684-g4_g13,GO:0006694,steroid biosynthetic process,1.2108885E-13
E-GEOD-45684,E-GEOD-45684,https://spoke.ucsf.edu/genelab/E-GEOD-45684-g1_g10,GO:0006694,steroid biosynthetic process,1.6665594E-13
E-GEOD-45684,E-GEOD-45684,https://spoke.ucsf.edu/genelab/E-GEOD-45684-g1_g10,GO:0016126,sterol biosynthetic process,4.5044437E-13
E-GEOD-5741,E-GEOD-5741,https://spoke.ucsf.edu/genelab/E-GEOD-5741-g1_g2,GO:0006695,cholesterol biosynthetic process,5.1703807E-13
E-GEOD-5741,E-GEOD-5741,https://spoke.ucsf.edu/genelab/E-GEOD-5741-g1_g2,GO:0016126,sterol biosynthetic process,5.1703807E-13
E-GEOD-57728,E-GEOD-57728,https://spoke.ucsf.edu/genelab/E-GEOD-57728-g3_g1,GO:0070125,mitochondrial translational elongation,6.4053195E-13
E-GEOD-57806,E-GEOD-57806,https://spoke.ucsf.edu/genelab/E-GEOD-57806-g2_g1,GO:0002181,cytoplasmic translation,4.170995E-12
E-GEOD-55187,E-GEOD-55187,https://spoke.ucsf.edu/genelab/E-GEOD-55187-g4_g2,GO:0032543,mitochondrial translation,4.2678014E-12
E-GEOD-59089,E-GEOD-59089,https://spoke.ucsf.edu/genelab/E-GEOD-59089-g1_g3,GO:0070125,mitochondrial translational elongation,4.8463867E-12
E-GEOD-32706,E-GEOD-32706,https://spoke.ucsf.edu/genelab/E-GEOD-32706-g1_g3,GO:0006694,steroid biosynthetic process,6.376446E-12
E-GEOD-41678,E-GEOD-41678,https://spoke.ucsf.edu/genelab/E-GEOD-41678-g8_g6,GO:0070125,mitochondrial translational elongation,7.379715E-12
E-GEOD-52194,E-GEOD-52194,https://spoke.ucsf.edu/genelab/E-GEOD-52194-g3_g1,GO:0002181,cytoplasmic translation,7.818278E-12
E-GEOD-39214,E-GEOD-39214,https://spoke.ucsf.edu/genelab/E-GEOD-39214-g1_g2,GO:0002181,cytoplasmic translation,9.550934E-12
E-GEOD-30030,E-GEOD-30030,https://spoke.ucsf.edu/genelab/E-GEOD-30030-g4_g3,GO:0002181,cytoplasmic translation,2.2289726E-11
E-GEOD-44392,E-GEOD-44392,https://spoke.ucsf.edu/genelab/E-GEOD-44392-g4_g1,GO:0070125,mitochondrial translational elongation,2.447047E-11
E-GEOD-49284,E-GEOD-49284,https://spoke.ucsf.edu/genelab/E-GEOD-49284-g29_g9,GO:0070125,mitochondrial translational elongation,3.2320015E-11
E-GEOD-39685,E-GEOD-39685,https://spoke.ucsf.edu/genelab/E-GEOD-39685-g2_g3,GO:0070125,mitochondrial translational elongation,3.6280715E-11
E-GEOD-45684,E-GEOD-45684,https://spoke.ucsf.edu/genelab/E-GEOD-45684-g1_g10,GO:0006695,cholesterol biosynthetic process,4.6103874E-11
E-GEOD-52463,E-GEOD-52463,https://spoke.ucsf.edu/genelab/E-GEOD-52463-g2_g1,GO:0016126,sterol biosynthetic process,5.900577E-11
E-GEOD-52194,E-GEOD-52194,https://spoke.ucsf.edu/genelab/E-GEOD-52194-g3_g4,GO:0002181,cytoplasmic translation,6.34207E-11
E-GEOD-23764,E-GEOD-23764,https://spoke.ucsf.edu/genelab/E-GEOD-23764-g4_g1,GO:0006412,translation,1.3463172E-10
E-GEOD-45684,E-GEOD-45684,https://spoke.ucsf.edu/genelab/E-GEOD-45684-g3_g12,GO:0006695,cholesterol biosynthetic process,1.6813706E-10
E-GEOD-33204,E-GEOD-33204,https://spoke.ucsf.edu/genelab/E-GEOD-33204-g8_g7,GO:0006412,translation,2.3536642E-10
E-GEOD-34055,E-GEOD-34055,https://spoke.ucsf.edu/genelab/E-GEOD-34055-g4_g2,GO:0070125,mitochondrial translational elongation,3.77985E-10
E-GEOD-40695,E-GEOD-40695,https://spoke.ucsf.edu/genelab/E-GEOD-40695-g1_g2,GO:0006695,cholesterol biosynthetic process,4.5080206E-10
E-GEOD-18980,E-GEOD-18980,https://spoke.ucsf.edu/genelab/E-GEOD-18980-g2_g1,GO:0008652,cellular amino acid biosynthetic process,4.8183574E-10
E-GEOD-38879,E-GEOD-38879,https://spoke.ucsf.edu/genelab/E-GEOD-38879-g2_g1,GO:0019761,glucosinolate biosynthetic process,5.5339316E-10
E-GEOD-34015,E-GEOD-34015,https://spoke.ucsf.edu/genelab/E-GEOD-34015-g2_g1,GO:0070125,mitochondrial translational elongation,6.3607736E-10
E-GEOD-59089,E-GEOD-59089,https://spoke.ucsf.edu/genelab/E-GEOD-59089-g1_g5,GO:0070125,mitochondrial translational elongation,6.648339E-10
E-GEOD-48433,E-GEOD-48433,https://spoke.ucsf.edu/genelab/E-GEOD-48433-g86_g89,GO:0002181,cytoplasmic translation,6.820114E-10
E-GEOD-33455,E-GEOD-33455,https://spoke.ucsf.edu/genelab/E-GEOD-33455-g2_g1,GO:0070125,mitochondrial translational elongation,7.024648E-10
E-GEOD-49644,E-GEOD-49644,https://spoke.ucsf.edu/genelab/E-GEOD-49644-g2_g4,GO:0070125,mitochondrial translational elongation,7.7980084E-10
E-GEOD-48433,E-GEOD-48433,https://spoke.ucsf.edu/genelab/E-GEOD-48433-g154_g157,GO:0006695,cholesterol biosynthetic process,1.0058476E-9
E-GEOD-5741,E-GEOD-5741,https://spoke.ucsf.edu/genelab/E-GEOD-5741-g1_g2,GO:0006694,steroid biosynthetic process,1.2449998E-9
E-GEOD-58365,E-GEOD-58365,https://spoke.ucsf.edu/genelab/E-GEOD-58365-g2_g1,GO:0002181,cytoplasmic translation,1.2626535E-9
E-GEOD-48433,E-GEOD-48433,https://spoke.ucsf.edu/genelab/E-GEOD-48433-g56_g57,GO:0070125,mitochondrial translational elongation,1.4366717E-9
E-GEOD-49608,E-GEOD-49608,https://spoke.ucsf.edu/genelab/E-GEOD-49608-g5_g7,GO:0002181,cytoplasmic translation,1.8648014E-9
E-GEOD-48433,E-GEOD-48433,https://spoke.ucsf.edu/genelab/E-GEOD-48433-g56_g58,GO:0070125,mitochondrial translational elongation,1.8913253E-9
E-GEOD-48433,E-GEOD-48433,https://spoke.ucsf.edu/genelab/E-GEOD-48433-g154_g157,GO:0016126,sterol biosynthetic process,2.3254547E-9
E-GEOD-5636,E-GEOD-5636,https://spoke.ucsf.edu/genelab/E-GEOD-5636-g4_g5,GO:0019761,glucosinolate biosynthetic process,2.5126714E-9
E-GEOD-52463,E-GEOD-52463,https://spoke.ucsf.edu/genelab/E-GEOD-52463-g2_g1,GO:0006695,cholesterol biosynthetic process,2.5137559E-9
E-GEOD-44674,E-GEOD-44674,https://spoke.ucsf.edu/genelab/E-GEOD-44674-g8_g5,GO:0002181,cytoplasmic translation,3.0898912E-9
E-GEOD-56825,E-GEOD-56825,https://spoke.ucsf.edu/genelab/E-GEOD-56825-g4_g2,GO:0006412,translation,3.152992E-9
E-GEOD-51742,E-GEOD-51742,https://spoke.ucsf.edu/genelab/E-GEOD-51742-g6_g4,GO:0030244,cellulose biosynthetic process,3.49951E-9
E-GEOD-59089,E-GEOD-59089,https://spoke.ucsf.edu/genelab/E-GEOD-59089-g1_g2,GO:0070125,mitochondrial translational elongation,4.060664E-9
E-GEOD-23764,E-GEOD-23764,https://spoke.ucsf.edu/genelab/E-GEOD-23764-g4_g2,GO:0070125,mitochondrial translational elongation,4.8765383E-9
E-GEOD-5686,E-GEOD-5686,https://spoke.ucsf.edu/genelab/E-GEOD-5686-g13_g6,GO:0002181,cytoplasmic translation,5.003049E-9
E-GEOD-45684,E-GEOD-45684,https://spoke.ucsf.edu/genelab/E-GEOD-45684-g9_g18,GO:0006694,steroid biosynthetic process,5.877282E-9
E-GEOD-45684,E-GEOD-45684,https://spoke.ucsf.edu/genelab/E-GEOD-45684-g9_g18,GO:0006695,cholesterol biosynthetic process,5.877282E-9
E-GEOD-22533,E-GEOD-22533,https://spoke.ucsf.edu/genelab/E-GEOD-22533-g4_g1,GO:0070125,mitochondrial translational elongation,6.3805063E-9
E-GEOD-44674,E-GEOD-44674,https://spoke.ucsf.edu/genelab/E-GEOD-44674-g7_g4,GO:0002181,cytoplasmic translation,7.844548E-9
E-GEOD-45684,E-GEOD-45684,https://spoke.ucsf.edu/genelab/E-GEOD-45684-g3_g12,GO:0016126,sterol biosynthetic process,8.100247E-9
E-GEOD-41678,E-GEOD-41678,https://spoke.ucsf.edu/genelab/E-GEOD-41678-g8_g6,GO:0006368,transcription elongation from RNA polymerase II promoter,8.253058E-9
E-GEOD-56084,E-GEOD-56084,https://spoke.ucsf.edu/genelab/E-GEOD-56084-g2_g1,GO:0070125,mitochondrial translational elongation,8.566923E-9
E-GEOD-45684,E-GEOD-45684,https://spoke.ucsf.edu/genelab/E-GEOD-45684-g9_g18,GO:0016126,sterol biosynthetic process,8.69607E-9
E-GEOD-45684,E-GEOD-45684,https://spoke.ucsf.edu/genelab/E-GEOD-45684-g7_g16,GO:0006695,cholesterol biosynthetic process,9.426869E-9
E-GEOD-57466,E-GEOD-57466,https://spoke.ucsf.edu/genelab/E-GEOD-57466-g4_g2,GO:0006782,protoporphyrinogen IX biosynthetic process,1.0367808E-8
E-GEOD-34015,E-GEOD-34015,https://spoke.ucsf.edu/genelab/E-GEOD-34015-g2_g1,GO:0002181,cytoplasmic translation,1.0945287E-8
E-GEOD-51878,E-GEOD-51878,https://spoke.ucsf.edu/genelab/E-GEOD-51878-g3_g2,GO:0002181,cytoplasmic translation,1.1449812E-8
E-GEOD-23764,E-GEOD-23764,https://spoke.ucsf.edu/genelab/E-GEOD-23764-g4_g3,GO:0070125,mitochondrial translational elongation,1.7128219E-8
E-GEOD-18791,E-GEOD-18791,https://spoke.ucsf.edu/genelab/E-GEOD-18791-g11_g2,GO:0070125,mitochondrial translational elongation,1.8251493E-8
E-GEOD-18791,E-GEOD-18791,https://spoke.ucsf.edu/genelab/E-GEOD-18791-g11_g3,GO:0070125,mitochondrial translational elongation,1.8971848E-8
E-GEOD-40695,E-GEOD-40695,https://spoke.ucsf.edu/genelab/E-GEOD-40695-g1_g2,GO:0016126,sterol biosynthetic process,2.035941E-8
E-GEOD-19639,E-GEOD-19639,https://spoke.ucsf.edu/genelab/E-GEOD-19639-g6_g4,GO:0070125,mitochondrial translational elongation,2.0462677E-8
E-GEOD-56785,E-GEOD-56785,https://spoke.ucsf.edu/genelab/E-GEOD-56785-g1_g6,GO:0002181,cytoplasmic translation,2.2769713E-8
E-GEOD-17347,E-GEOD-17347,https://spoke.ucsf.edu/genelab/E-GEOD-17347-g4_g2,GO:0070125,mitochondrial translational elongation,2.5419656E-8
E-GEOD-58082,E-GEOD-58082,https://spoke.ucsf.edu/genelab/E-GEOD-58082-g2_g1,GO:0015995,chlorophyll biosynthetic process,2.733711E-8
E-GEOD-5281,E-GEOD-5281,https://spoke.ucsf.edu/genelab/E-GEOD-5281-g8_g2,GO:0070125,mitochondrial translational elongation,2.8732268E-8
E-GEOD-40595,E-GEOD-40595,https://spoke.ucsf.edu/genelab/E-GEOD-40595-g3_g4,GO:0070125,mitochondrial translational elongation,3.642217E-8
E-GEOD-39214,E-GEOD-39214,https://spoke.ucsf.edu/genelab/E-GEOD-39214-g1_g2,GO:0015995,chlorophyll biosynthetic process,3.6447815E-8
E-GEOD-5686,E-GEOD-5686,https://spoke.ucsf.edu/genelab/E-GEOD-5686-g8_g15,GO:0002181,cytoplasmic translation,3.9019604E-8
E-GEOD-49608,E-GEOD-49608,https://spoke.ucsf.edu/genelab/E-GEOD-49608-g1_g3,GO:0002181,cytoplasmic translation,5.0194444E-8
E-GEOD-55859,E-GEOD-55859,https://spoke.ucsf.edu/genelab/E-GEOD-55859-g2_g1,GO:0070125,mitochondrial translational elongation,5.024219E-8
E-GEOD-45684,E-GEOD-45684,https://spoke.ucsf.edu/genelab/E-GEOD-45684-g2_g11,GO:0016126,sterol biosynthetic process,6.534344E-8
E-GEOD-17385,E-GEOD-17385,https://spoke.ucsf.edu/genelab/E-GEOD-17385-g2_g1,GO:0070125,mitochondrial translational elongation,6.65556E-8
E-GEOD-19519,E-GEOD-19519,https://spoke.ucsf.edu/genelab/E-GEOD-19519-g2_g4,GO:0070125,mitochondrial translational elongation,7.247821E-8
E-GEOD-20318,E-GEOD-20318,https://spoke.ucsf.edu/genelab/E-GEOD-20318-g2_g1,GO:0070125,mitochondrial translational elongation,7.4743205E-8
E-GEOD-24187,E-GEOD-24187,https://spoke.ucsf.edu/genelab/E-GEOD-24187-g3_g7,GO:0016126,sterol biosynthetic process,8.072651E-8
E-GEOD-60424,E-GEOD-60424,https://spoke.ucsf.edu/genelab/E-GEOD-60424-g25_g23,GO:0002181,cytoplasmic translation,9.0776695E-8
E-GEOD-32526,E-GEOD-32526,https://spoke.ucsf.edu/genelab/E-GEOD-32526-g1_g3,GO:0070125,mitochondrial translational elongation,9.8261204E-8
E-GEOD-57806,E-GEOD-57806,https://spoke.ucsf.edu/genelab/E-GEOD-57806-g2_g1,GO:0019761,glucosinolate biosynthetic process,1.0052919E-7
E-GEOD-45684,E-GEOD-45684,https://spoke.ucsf.edu/genelab/E-GEOD-45684-g2_g11,GO:0006695,cholesterol biosynthetic process,1.0240544E-7
E-GEOD-49284,E-GEOD-49284,https://spoke.ucsf.edu/genelab/E-GEOD-49284-g31_g11,GO:0070125,mitochondrial translational elongation,1.07941965E-7
E-GEOD-48433,E-GEOD-48433,https://spoke.ucsf.edu/genelab/E-GEOD-48433-g150_g153,GO:0070125,mitochondrial translational elongation,1.122801E-7
E-GEOD-32706,E-GEOD-32706,https://spoke.ucsf.edu/genelab/E-GEOD-32706-g1_g3,GO:0006633,fatty acid biosynthetic process,1.133489E-7
E-GEOD-58351,E-GEOD-58351,https://spoke.ucsf.edu/genelab/E-GEOD-58351-g1_g2,GO:0032543,mitochondrial translation,1.1557325E-7
E-GEOD-55884,E-GEOD-55884,https://spoke.ucsf.edu/genelab/E-GEOD-55884-g1_g2,GO:0002181,cytoplasmic translation,1.1805107E-7
E-GEOD-22139,E-GEOD-22139,https://spoke.ucsf.edu/genelab/E-GEOD-22139-g4_g2,GO:0070125,mitochondrial translational elongation,1.2465748E-7
E-GEOD-24187,E-GEOD-24187,https://spoke.ucsf.edu/genelab/E-GEOD-24187-g3_g6,GO:0006695,cholesterol biosynthetic process,1.3974636E-7
E-GEOD-23764,E-GEOD-23764,https://spoke.ucsf.edu/genelab/E-GEOD-23764-g4_g1,GO:0070125,mitochondrial translational elongation,1.4968286E-7
E-GEOD-40695,E-GEOD-40695,https://spoke.ucsf.edu/genelab/E-GEOD-40695-g1_g2,GO:0006694,steroid biosynthetic process,1.7746464E-7
E-GEOD-43463,E-GEOD-43463,https://spoke.ucsf.edu/genelab/E-GEOD-43463-g8_g4,GO:0030639,polyketide biosynthetic process,1.8150325E-7
E-GEOD-40968,E-GEOD-40968,https://spoke.ucsf.edu/genelab/E-GEOD-40968-g4_g1,GO:0070125,mitochondrial translational elongation,1.8352597E-7
E-GEOD-60340,E-GEOD-60340,https://spoke.ucsf.edu/genelab/E-GEOD-60340-g7_g6,GO:0002181,cytoplasmic translation,2.1577543E-7
E-GEOD-26525,E-GEOD-26525,https://spoke.ucsf.edu/genelab/E-GEOD-26525-g1_g4,GO:0006412,translation,2.2778805E-7
E-GEOD-53280,E-GEOD-53280,https://spoke.ucsf.edu/genelab/E-GEOD-53280-g2_g1,GO:0042776,mitochondrial ATP synthesis coupled proton transport,2.3339746E-7
E-GEOD-57466,E-GEOD-57466,https://spoke.ucsf.edu/genelab/E-GEOD-57466-g4_g2,GO:0032544,plastid translation,3.1470867E-7
E-GEOD-48767,E-GEOD-48767,https://spoke.ucsf.edu/genelab/E-GEOD-48767-g2_g1,GO:0019253,reductive pentose-phosphate cycle,3.1575237E-7
E-GEOD-17347,E-GEOD-17347,https://spoke.ucsf.edu/genelab/E-GEOD-17347-g3_g1,GO:0070125,mitochondrial translational elongation,3.4846803E-7
E-GEOD-49284,E-GEOD-49284,https://spoke.ucsf.edu/genelab/E-GEOD-49284-g32_g12,GO:0070125,mitochondrial translational elongation,3.5684104E-7
E-GEOD-34437,E-GEOD-34437,https://spoke.ucsf.edu/genelab/E-GEOD-34437-g4_g3,GO:0070125,mitochondrial translational elongation,3.639716E-7
E-GEOD-34523,E-GEOD-34523,https://spoke.ucsf.edu/genelab/E-GEOD-34523-g3_g2,GO:0070125,mitochondrial translational elongation,3.7629766E-7
E-GEOD-45684,E-GEOD-45684,https://spoke.ucsf.edu/genelab/E-GEOD-45684-g3_g12,GO:0006694,steroid biosynthetic process,4.1451332E-7
E-GEOD-45684,E-GEOD-45684,https://spoke.ucsf.edu/genelab/E-GEOD-45684-g2_g11,GO:0006694,steroid biosynthetic process,4.3242494E-7
E-GEOD-56677,E-GEOD-56677,https://spoke.ucsf.edu/genelab/E-GEOD-56677-g9_g3,GO:0070125,mitochondrial translational elongation,4.7939733E-7
E-GEOD-44379,E-GEOD-44379,https://spoke.ucsf.edu/genelab/E-GEOD-44379-g2_g1,GO:0002181,cytoplasmic translation,5.047108E-7
E-GEOD-19519,E-GEOD-19519,https://spoke.ucsf.edu/genelab/E-GEOD-19519-g1_g3,GO:0070125,mitochondrial translational elongation,5.2544203E-7
E-GEOD-47399,E-GEOD-47399,https://spoke.ucsf.edu/genelab/E-GEOD-47399-g2_g1,GO:0002181,cytoplasmic translation,5.546434E-7
E-GEOD-51720,E-GEOD-51720,https://spoke.ucsf.edu/genelab/E-GEOD-51720-g14_g9,GO:0019253,reductive pentose-phosphate cycle,6.2338125E-7
E-GEOD-24187,E-GEOD-24187,https://spoke.ucsf.edu/genelab/E-GEOD-24187-g3_g1,GO:0006695,cholesterol biosynthetic process,6.276908E-7
E-GEOD-24187,E-GEOD-24187,https://spoke.ucsf.edu/genelab/E-GEOD-24187-g3_g1,GO:0016126,sterol biosynthetic process,6.276908E-7
E-GEOD-19519,E-GEOD-19519,https://spoke.ucsf.edu/genelab/E-GEOD-19519-g1_g3,GO:0042795,snRNA transcription by RNA polymerase II,6.931543E-7
E-GEOD-51878,E-GEOD-51878,https://spoke.ucsf.edu/genelab/E-GEOD-51878-g3_g1,GO:0002181,cytoplasmic translation,7.0057587E-7
E-GEOD-41678,E-GEOD-41678,https://spoke.ucsf.edu/genelab/E-GEOD-41678-g8_g6,GO:0032543,mitochondrial translation,7.9875434E-7
E-GEOD-22584,E-GEOD-22584,https://spoke.ucsf.edu/genelab/E-GEOD-22584-g1_g2,GO:0008652,cellular amino acid biosynthetic process,8.4419946E-7
E-GEOD-53201,E-GEOD-53201,https://spoke.ucsf.edu/genelab/E-GEOD-53201-g1_g5,GO:0006695,cholesterol biosynthetic process,9.64895E-7
E-GEOD-53201,E-GEOD-53201,https://spoke.ucsf.edu/genelab/E-GEOD-53201-g1_g5,GO:0016126,sterol biosynthetic process,9.64895E-7
E-GEOD-24187,E-GEOD-24187,https://spoke.ucsf.edu/genelab/E-GEOD-24187-g3_g7,GO:0006695,cholesterol biosynthetic process,1.0239103E-6
E-GEOD-20719,E-GEOD-20719,https://spoke.ucsf.edu/genelab/E-GEOD-20719-g1_g2,GO:0070125,mitochondrial translational elongation,1.1157687E-6
E-GEOD-30249,E-GEOD-30249,https://spoke.ucsf.edu/genelab/E-GEOD-30249-g7_g3,GO:0044550,secondary metabolite biosynthetic process,1.1163902E-6
E-GEOD-21679,E-GEOD-21679,https://spoke.ucsf.edu/genelab/E-GEOD-21679-g1_g2,GO:0006412,translation,1.1420681E-6
E-GEOD-22351,E-GEOD-22351,https://spoke.ucsf.edu/genelab/E-GEOD-22351-g1_g2,GO:0006695,cholesterol biosynthetic process,1.156303E-6
E-GEOD-57466,E-GEOD-57466,https://spoke.ucsf.edu/genelab/E-GEOD-57466-g4_g2,GO:0006779,porphyrin-containing compound biosynthetic process,1.1809926E-6
E-GEOD-56825,E-GEOD-56825,https://spoke.ucsf.edu/genelab/E-GEOD-56825-g4_g2,GO:0002181,cytoplasmic translation,1.2876314E-6
E-GEOD-43883,E-GEOD-43883,https://spoke.ucsf.edu/genelab/E-GEOD-43883-g4_g2,GO:0006412,translation,1.3202057E-6
E-GEOD-23610,E-GEOD-23610,https://spoke.ucsf.edu/genelab/E-GEOD-23610-g1_g2,GO:0070125,mitochondrial translational elongation,1.3247061E-6
E-GEOD-18791,E-GEOD-18791,https://spoke.ucsf.edu/genelab/E-GEOD-18791-g11_g6,GO:0070125,mitochondrial translational elongation,1.3561241E-6
E-GEOD-24187,E-GEOD-24187,https://spoke.ucsf.edu/genelab/E-GEOD-24187-g3_g6,GO:0016126,sterol biosynthetic process,1.7022812E-6
E-GEOD-44392,E-GEOD-44392,https://spoke.ucsf.edu/genelab/E-GEOD-44392-g5_g4,GO:0070125,mitochondrial translational elongation,1.7064528E-6
E-GEOD-60424,E-GEOD-60424,https://spoke.ucsf.edu/genelab/E-GEOD-60424-g25_g26,GO:0002181,cytoplasmic translation,1.8685396E-6
E-GEOD-45684,E-GEOD-45684,https://spoke.ucsf.edu/genelab/E-GEOD-45684-g7_g16,GO:0002181,cytoplasmic translation,1.8701342E-6
E-GEOD-5681,E-GEOD-5681,https://spoke.ucsf.edu/genelab/E-GEOD-5681-g4_g1,GO:0006412,translation,1.9626107E-6
E-GEOD-22351,E-GEOD-22351,https://spoke.ucsf.edu/genelab/E-GEOD-22351-g1_g2,GO:0016126,sterol biosynthetic process,2.096063E-6
E-GEOD-17159,E-GEOD-17159,https://spoke.ucsf.edu/genelab/E-GEOD-17159-g4_g3,GO:0015995,chlorophyll biosynthetic process,2.1405515E-6
E-GEOD-35166,E-GEOD-35166,https://spoke.ucsf.edu/genelab/E-GEOD-35166-g3_g2,GO:0015995,chlorophyll biosynthetic process,2.1684123E-6
E-GEOD-52707,E-GEOD-52707,https://spoke.ucsf.edu/genelab/E-GEOD-52707-g2_g3,GO:0070125,mitochondrial translational elongation,2.2135753E-6
E-GEOD-34748,E-GEOD-34748,https://spoke.ucsf.edu/genelab/E-GEOD-34748-g1_g2,GO:0002181,cytoplasmic translation,2.218836E-6
E-GEOD-23330,E-GEOD-23330,https://spoke.ucsf.edu/genelab/E-GEOD-23330-g2_g3,GO:0008652,cellular amino acid biosynthetic process,2.388816E-6
E-GEOD-5281,E-GEOD-5281,https://spoke.ucsf.edu/genelab/E-GEOD-5281-g10_g4,GO:0070125,mitochondrial translational elongation,2.4503406E-6
E-GEOD-18304,E-GEOD-18304,https://spoke.ucsf.edu/genelab/E-GEOD-18304-g1_g2,GO:0006694,steroid biosynthetic process,2.6726418E-6
E-GEOD-39685,E-GEOD-39685,https://spoke.ucsf.edu/genelab/E-GEOD-39685-g2_g3,GO:0032543,mitochondrial translation,2.8947995E-6
E-GEOD-35700,E-GEOD-35700,https://spoke.ucsf.edu/genelab/E-GEOD-35700-g4_g2,GO:0019761,glucosinolate biosynthetic process,3.1269738E-6
E-GEOD-48433,E-GEOD-48433,https://spoke.ucsf.edu/genelab/E-GEOD-48433-g150_g152,GO:0070125,mitochondrial translational elongation,3.1979368E-6
E-GEOD-35198,E-GEOD-35198,https://spoke.ucsf.edu/genelab/E-GEOD-35198-g2_g1,GO:0070125,mitochondrial translational elongation,3.269199E-6
E-GEOD-33643,E-GEOD-33643,https://spoke.ucsf.edu/genelab/E-GEOD-33643-g7_g3,GO:0070125,mitochondrial translational elongation,3.3261197E-6
E-GEOD-46867,E-GEOD-46867,https://spoke.ucsf.edu/genelab/E-GEOD-46867-g6_g4,GO:0008652,cellular amino acid biosynthetic process,3.4369384E-6
E-GEOD-55282,E-GEOD-55282,https://spoke.ucsf.edu/genelab/E-GEOD-55282-g4_g3,GO:0002181,cytoplasmic translation,3.6968086E-6
E-GEOD-35700,E-GEOD-35700,https://spoke.ucsf.edu/genelab/E-GEOD-35700-g4_g2,GO:0008652,cellular amino acid biosynthetic process,4.0782334E-6
E-GEOD-34055,E-GEOD-34055,https://spoke.ucsf.edu/genelab/E-GEOD-34055-g4_g3,GO:0070125,mitochondrial translational elongation,4.4770395E-6
E-GEOD-44674,E-GEOD-44674,https://spoke.ucsf.edu/genelab/E-GEOD-44674-g9_g6,GO:0002181,cytoplasmic translation,4.5265056E-6
