gene_symbol	log2_fold_change	mean_test	mean_control	pvalue	pvalue_adjusted	direction	significant
SCN1A	3.4051	20.9231	3.0909	5.05e-08	3.14e-07	up	yes
PCDHGC4	3.3735	9.8462	1.3333	2.75e-09	2.11e-08	up	yes
PCDHGC5	3.3189	23.1538	3.7879	9.00e-11	8.80e-10	up	yes
MSMP	3.3087	15.8462	9.5152	3.48e-05	1.30e-04	up	yes
NPIPB12	3.2583	997.0769	147.0909	3.91e-11	4.08e-10	up	yes
COL19A1	3.2352	45.2308	7.3030	1.30e-12	1.74e-11	up	yes
PROX2	3.1945	6.3846	0.9394	3.54e-09	2.66e-08	up	yes
HSPB2-C11ORF52	3.1397	93.5385	16.7879	1.57e-05	6.29e-05	up	yes
GPR156	3.1333	11.9231	2.1515	3.17e-14	5.39e-13	up	yes
DMBT1	3.1314	10.6923	1.8182	1.76e-06	8.34e-06	up	yes
SRCAP	3.1018	1412.6923	259.8182	9.03e-47	4.78e-44	up	yes
CAMK1G	3.0869	39.0769	6.8182	6.85e-07	3.51e-06	up	yes
TSSK4	3.0628	8.1538	1.4242	2.86e-14	4.88e-13	up	yes
COMMD3-BMI1	3.0105	98.3077	21.0000	3.11e-04	9.62e-04	up	yes
GPR17	3.0049	70.0000	13.2727	3.91e-24	2.78e-22	up	yes
TRIB3	3.0041	220.6923	42.4545	5.26e-13	7.44e-12	up	yes
TMED7-TICAM2	2.9965	40.5385	6.6364	3.82e-04	1.16e-03	up	yes
FAM180A	2.9746	50.1538	9.6061	4.16e-12	5.15e-11	up	yes
CXCL9	2.9733	254.5385	44.9091	7.22e-09	5.16e-08	up	yes
VTCN1	2.9535	15.3077	2.6970	3.09e-08	2.01e-07	up	yes
PLAAT2	2.8698	2.6923	0.4848	3.82e-03	9.18e-03	up	yes
PLA2G2C	2.8634	22.8462	4.6061	7.06e-12	8.34e-11	up	yes
LTK	2.8594	28.2308	5.6667	1.33e-07	7.69e-07	up	yes
ODAD1	2.7871	39.4615	8.0909	1.47e-13	2.25e-12	up	yes
CCDC63	2.7140	43.5385	9.1212	4.49e-18	1.37e-16	up	yes
IMPG1	2.7022	2.2308	0.5152	2.70e-04	8.45e-04	up	yes
C4A	2.6897	47.7692	10.7273	1.22e-03	3.29e-03	up	yes
NPIPB7	2.6836	194.3077	44.9697	3.44e-56	3.23e-53	up	yes
IGLL5	2.6383	47.3846	21.6061	1.06e-03	2.91e-03	up	yes
ASNS	2.6369	367.3846	86.2121	6.83e-16	1.48e-14	up	yes
MOCOS	2.6350	90.8462	20.1212	9.19e-18	2.67e-16	up	yes
MICAL3	2.6009	1336.6154	332.8485	3.87e-89	2.18e-85	up	yes
PCDHAC2	2.5912	38.9231	9.5455	1.01e-12	1.38e-11	up	yes
FAM86B2	2.5742	15.8462	3.6667	3.88e-04	1.17e-03	up	yes
LHX4	2.5656	20.2308	5.7879	1.45e-06	6.96e-06	up	yes
TRIM67	2.5507	3.3846	0.9394	4.19e-03	9.98e-03	up	yes
CXCL10	2.5506	58.3846	13.5455	4.32e-06	1.92e-05	up	yes
FAM90A11P	2.5438	3.6154	0.9091	4.06e-04	1.22e-03	up	yes
ZNF710	2.5342	482.0000	113.9697	4.36e-25	3.51e-23	up	yes
MYH3	2.5268	2302.6923	600.8788	1.75e-10	1.64e-09	up	yes
EDA2R	2.4930	129.7692	35.1515	1.08e-17	3.09e-16	up	yes
SPDYE2	2.4929	71.6923	16.9091	4.03e-05	1.49e-04	up	yes
KCNAB2	2.4768	273.0769	66.4545	2.34e-19	8.48e-18	up	yes
CXCL11	2.4654	20.7692	5.0606	2.76e-05	1.05e-04	up	yes
NHLH2	2.4241	15.7692	4.2424	4.00e-04	1.21e-03	up	yes
NNAT	2.4223	58.5385	16.4242	1.36e-17	3.81e-16	up	yes
CSTA	2.4121	16.4615	4.1515	1.40e-05	5.65e-05	up	yes
ART1	2.3941	276.8462	75.8485	1.30e-17	3.66e-16	up	yes
TNNT2	2.3888	354.2308	91.0606	1.97e-09	1.56e-08	up	yes
SPATA32	2.3868	4.3077	1.2424	4.76e-04	1.41e-03	up	yes
IQCA1L	2.3828	5.6923	1.8182	3.86e-06	1.73e-05	up	yes
NUTM2E	2.3759	40.0000	11.6364	5.02e-09	3.67e-08	up	yes
P2RX1	2.3373	91.0769	24.7576	8.49e-05	2.94e-04	up	yes
LRTOMT	2.3336	21.8462	6.2121	3.81e-10	3.37e-09	up	yes
LAD1	2.3236	163.6923	43.7273	2.35e-11	2.55e-10	up	yes
CD79A	2.2962	17.1538	4.9091	8.55e-05	2.96e-04	up	yes
PLK4	2.2934	30.5385	9.6667	8.61e-06	3.62e-05	up	yes
TENM2	2.2911	53.7692	16.1818	1.10e-05	4.50e-05	up	yes
FAM90A24P	2.2782	2.8462	0.8788	2.05e-03	5.24e-03	up	yes
GARRE1	2.2780	560.2308	178.3636	1.40e-38	3.89e-36	up	yes
ST8SIA2	2.2733	66.6154	21.2424	1.13e-07	6.62e-07	up	yes
SLC7A1	2.2651	299.6923	99.1515	2.00e-08	1.33e-07	up	yes
SLC7A11	2.2646	41.3846	12.5758	2.99e-09	2.28e-08	up	yes
ACER2	2.2511	19.0000	6.1818	1.35e-09	1.10e-08	up	yes
CCDC168	2.2494	7.2308	2.1212	3.66e-06	1.64e-05	up	yes
MINAR1	2.1982	24.3077	7.8182	4.20e-06	1.87e-05	up	yes
RAP1GAP	2.1966	24.3077	8.4848	1.32e-03	3.55e-03	up	yes
SCG2	2.1949	8.1538	2.4242	4.22e-04	1.26e-03	up	yes
CKLF-CMTM1	2.1795	2.7692	0.8788	3.53e-03	8.55e-03	up	yes
CIDEB	2.1761	24.0769	7.4848	1.56e-07	8.94e-07	up	yes
APBA1	2.1327	64.0000	21.4545	1.30e-03	3.49e-03	up	yes
TIGIT	2.1304	10.0000	2.9697	2.73e-04	8.52e-04	up	yes
CYP2D6	2.1270	4.7692	1.6970	4.11e-03	9.82e-03	up	yes
DLEC1	2.1222	23.1538	8.1212	9.77e-14	1.53e-12	up	yes
RAB40A	2.1185	6.2308	2.0909	5.48e-06	2.39e-05	up	yes
TAS2R5	2.1183	6.6154	2.4848	4.94e-05	1.80e-04	up	yes
EVC	2.1172	86.3077	29.9697	1.03e-18	3.42e-17	up	yes
PHF21B	2.1073	15.6154	5.4242	2.46e-05	9.50e-05	up	yes
IRF4	2.1009	34.3077	12.0000	9.01e-11	8.81e-10	up	yes
LIPJ	2.0900	2.4615	0.7879	2.65e-03	6.62e-03	up	yes
SHANK1	2.0793	22.2308	7.5758	9.37e-07	4.67e-06	up	yes
MYH8	2.0650	2092.7692	628.0606	4.20e-04	1.26e-03	up	yes
PLCH2	2.0583	5.3077	1.8182	2.84e-04	8.82e-04	up	yes
ZNF750	2.0580	20.8462	6.6970	2.39e-06	1.10e-05	up	yes
STX16-NPEPL1	2.0551	94.2308	31.9394	2.39e-14	4.14e-13	up	yes
CLGN	2.0551	67.4615	22.4545	5.95e-10	5.10e-09	up	yes
MUSK	2.0446	85.4615	31.0303	1.78e-09	1.41e-08	up	yes
STAG3	2.0402	439.1538	152.4848	5.27e-21	2.46e-19	up	yes
GCOM1	2.0331	238.3077	93.9091	2.32e-11	2.53e-10	up	yes
RNPC3	2.0311	638.9231	232.9697	2.37e-56	2.36e-53	up	yes
GOLGA8R	2.0291	120.9231	46.1818	1.78e-09	1.42e-08	up	yes
HLA-DRA	-7.1492	0.2308	119.4242	3.07e-05	1.16e-04	down	yes
PSG2	-6.8897	0.2308	54.1818	3.78e-15	7.38e-14	down	yes
TBC1D3D	-6.3490	0.6923	68.9394	3.00e-03	7.40e-03	down	yes
TUBB	-6.1088	7.6923	824.7879	1.15e-08	7.92e-08	down	yes
FGF23	-6.0039	16.4615	1545.0000	1.73e-59	2.44e-56	down	yes
POU3F3	-5.3914	0.1538	16.8788	3.39e-04	1.04e-03	down	yes
ABHD16B	-5.3570	0.0000	10.7879	4.10e-05	1.51e-04	down	yes
DCD	-5.3003	0.0000	8.2727	6.24e-05	2.22e-04	down	yes
H2AC19	-5.1043	0.4615	206.4242	1.62e-06	7.72e-06	down	yes
TMEM238	-4.9696	0.1538	11.1818	6.36e-09	4.59e-08	down	yes
KCNC2	-4.8973	0.0000	9.2424	3.02e-04	9.36e-04	down	yes
HBD	-4.8097	0.0769	8.1818	5.54e-05	2.00e-04	down	yes
CXCR5	-4.5151	2.0769	61.7576	1.34e-04	4.44e-04	down	yes
PGLYRP3	-4.4180	0.2308	9.4242	5.38e-07	2.81e-06	down	yes
SPP2	-4.2724	0.4615	12.2424	4.77e-08	2.99e-07	down	yes
KRT19	-4.2374	1.5385	50.6364	6.61e-07	3.39e-06	down	yes
LRRC24	-4.1996	1.2308	27.2121	6.27e-10	5.37e-09	down	yes
CHURC1-FNTB	-4.1624	0.6154	17.0000	2.23e-03	5.66e-03	down	yes
BOLA2	-4.0992	1.5385	34.9091	1.37e-04	4.55e-04	down	yes
NEUROD2	-3.9837	0.6154	14.6061	3.31e-12	4.19e-11	down	yes
CDH12	-3.8955	0.0769	4.1515	6.95e-04	1.99e-03	down	yes
TCF19	-3.8429	1.3077	26.9394	1.92e-03	4.95e-03	down	yes
ZBTB20	-3.8124	46.8462	790.0909	3.46e-12	4.36e-11	down	yes
FSD1	-3.7309	0.1538	12.3939	1.24e-03	3.35e-03	down	yes
HBG2	-3.6571	1.8462	29.2727	2.01e-03	5.16e-03	down	yes
FMN2	-3.6533	0.8462	18.3333	1.84e-05	7.28e-05	down	yes
DDX39B	-3.6502	23.5385	433.2727	6.40e-12	7.63e-11	down	yes
HLA-C	-3.5972	39.0000	633.5455	5.09e-06	2.23e-05	down	yes
FOSB	-3.5935	11.8462	210.5152	1.08e-07	6.39e-07	down	yes
HLA-DRB5	-3.5669	14.3077	271.0909	5.28e-07	2.77e-06	down	yes
URGCP-MRPS24	-3.4795	72.1538	1376.7273	2.02e-23	1.29e-21	down	yes
ATP6V1G2-DDX39B	-3.4746	0.1538	3.9394	5.64e-04	1.64e-03	down	yes
CRB2	-3.4665	0.1538	4.0000	4.23e-04	1.27e-03	down	yes
CLDN19	-3.4351	0.3846	6.6364	4.85e-04	1.43e-03	down	yes
SEPTIN3	-3.4107	0.6154	10.7273	3.26e-04	1.00e-03	down	yes
SH3GL2	-3.4025	0.2308	4.9394	3.39e-03	8.24e-03	down	yes
KASH5	-3.3325	0.1538	4.1515	3.30e-04	1.01e-03	down	yes
LPAR4	-3.3233	5.6923	85.6061	5.15e-19	1.78e-17	down	yes
PRH1	-3.3219	2.0000	29.2727	8.78e-05	3.04e-04	down	yes
MT1F	-3.2701	4.4615	56.1212	4.96e-14	8.10e-13	down	yes
SHOC1	-3.2330	0.3846	5.4545	4.62e-05	1.69e-04	down	yes
DPEP3	-3.1831	0.6154	7.9697	1.45e-05	5.83e-05	down	yes
SP9	-3.1603	0.2308	4.3939	2.93e-03	7.24e-03	down	yes
TNFRSF6B	-3.1548	4.2308	57.4242	4.11e-19	1.43e-17	down	yes
PRAMEF9	-3.0930	0.1538	3.1818	8.65e-04	2.43e-03	down	yes
GABRG3	-3.0745	0.1538	3.0000	4.52e-04	1.34e-03	down	yes
B3GNT6	-3.0684	0.2308	3.3939	4.71e-04	1.39e-03	down	yes
SLC30A10	-3.0641	0.6154	8.1212	8.19e-06	3.46e-05	down	yes
CA9	-3.0635	0.1538	3.0606	1.61e-03	4.23e-03	down	yes
FOS	-3.0630	158.6923	1852.3030	9.32e-07	4.64e-06	down	yes
HBA2	-3.0615	1431.3077	16594.0000	8.84e-07	4.44e-06	down	yes
JPH3	-3.0227	0.6154	7.9091	2.68e-03	6.67e-03	down	yes
METTL21C	-3.0173	13.4615	182.8788	2.94e-07	1.60e-06	down	yes
PCK1	-2.9932	3.7692	41.2727	6.11e-05	2.18e-04	down	yes
HBB	-2.9643	1535.2308	17011.3333	1.92e-06	9.00e-06	down	yes
ANKUB1	-2.9554	0.7692	8.6970	2.43e-06	1.12e-05	down	yes
HBA1	-2.9501	954.2308	11058.0303	9.86e-07	4.89e-06	down	yes
SPOCK3	-2.9300	1.8462	22.1212	5.81e-05	2.09e-04	down	yes
C11ORF96	-2.9142	22.6923	247.9697	3.28e-22	1.84e-20	down	yes
TAFA5	-2.8895	4.3077	49.6364	8.49e-11	8.35e-10	down	yes
OR2AP1	-2.8862	0.3077	3.5152	9.28e-04	2.59e-03	down	yes
HEPACAM	-2.8738	3.2308	34.2121	2.13e-15	4.31e-14	down	yes
DPPA4	-2.8721	4.0769	45.2424	1.34e-17	3.77e-16	down	yes
ALAS2	-2.8479	3.0769	32.8788	4.26e-04	1.27e-03	down	yes
VSTM2A	-2.8379	0.4615	5.3333	2.88e-03	7.12e-03	down	yes
HES4	-2.8313	20.0000	193.8788	2.38e-23	1.50e-21	down	yes
H2AC20	-2.8030	0.6923	52.3939	9.82e-04	2.72e-03	down	yes
GGT6	-2.7888	2.8462	28.2424	1.06e-14	1.96e-13	down	yes
KCNH6	-2.7879	4.1538	38.7273	5.18e-12	6.31e-11	down	yes
MUC5B	-2.7829	0.5385	5.3333	7.16e-05	2.52e-04	down	yes
VSIG10L2	-2.7535	1.8462	17.8788	3.20e-04	9.87e-04	down	yes
SULT2B1	-2.7482	0.5385	5.2727	7.87e-05	2.75e-04	down	yes
RPS18	-2.7256	398.0000	3650.6364	1.38e-27	1.47e-25	down	yes
G0S2	-2.6788	1173.7692	10052.1818	7.65e-15	1.43e-13	down	yes
MPZ	-2.6739	30.4615	300.3636	1.22e-04	4.09e-04	down	yes
VIL1	-2.6674	8.8462	81.0000	9.22e-07	4.61e-06	down	yes
GGT7	-2.6458	200.9231	1779.5758	9.85e-15	1.82e-13	down	yes
CIDEA	-2.6359	3.9231	33.6667	4.52e-04	1.34e-03	down	yes
CFAP299	-2.6344	0.3077	2.9394	1.77e-03	4.61e-03	down	yes
CDKN1C	-2.6073	43.7692	370.3939	4.08e-10	3.59e-09	down	yes
CFB	-2.6007	0.6154	5.4545	3.18e-03	7.79e-03	down	yes
OR4P4	-2.5951	0.2308	2.5758	2.72e-03	6.76e-03	down	yes
NEUROD1	-2.5911	2.3077	22.0303	6.89e-12	8.16e-11	down	yes
LYG2	-2.5598	0.3077	2.6364	4.19e-03	9.98e-03	down	yes
PROZ	-2.5582	0.3846	3.5152	3.18e-03	7.79e-03	down	yes
LRRC10B	-2.5515	1.0000	8.9091	9.75e-05	3.34e-04	down	yes
ARL2-SNX15	-2.5472	10.9231	88.2727	4.76e-11	4.88e-10	down	yes
EFNA2	-2.5328	1.6923	13.9394	1.93e-09	1.53e-08	down	yes
FMC1	-2.5318	104.1538	897.4545	8.33e-90	7.05e-86	down	yes
FOXD1	-2.5287	2.6154	24.4848	1.07e-03	2.93e-03	down	yes
NPAS1	-2.5261	0.7692	6.7273	5.60e-04	1.64e-03	down	yes
LRRC8E	-2.5257	0.6154	5.3636	1.44e-03	3.84e-03	down	yes
CELF5	-2.5178	0.7692	7.1212	6.46e-05	2.29e-04	down	yes
ROMO1	-2.4911	173.3077	1497.7879	1.21e-78	4.09e-75	down	yes
CCDC160	-2.4852	4.1538	36.0909	2.24e-09	1.75e-08	down	yes
HSPB9	-2.4808	0.5385	4.5758	3.56e-04	1.08e-03	down	yes
SCAMP3	-2.4686	123.6923	1021.5758	2.02e-66	5.70e-63	down	yes
PCDH8	-2.4598	3.2308	25.4545	3.00e-07	1.63e-06	down	yes
TMEM256-PLSCR3	-2.4590	3.6154	28.1515	2.79e-07	1.53e-06	down	yes
SIX3	-2.4544	1.2308	9.5455	1.45e-05	5.85e-05	down	yes
JSRP1	-2.4536	937.5385	7486.3333	3.62e-54	3.06e-51	down	yes
IGSF21	-2.4444	3.4615	28.2424	8.73e-10	7.33e-09	down	yes
CDH22	-2.4443	3.1538	26.0606	8.20e-05	2.85e-04	down	yes
C1ORF167	-2.4353	17.0000	131.1515	3.65e-10	3.24e-09	down	yes
ST6GALNAC5	-2.4333	0.3846	3.3333	2.35e-03	5.93e-03	down	yes
PCDH9	-2.4256	59.0000	494.3333	1.03e-15	2.16e-14	down	yes
NDUFC2-KCTD14	-2.4254	39.7692	334.8182	1.25e-20	5.53e-19	down	yes
TOX3	-2.4150	0.6154	5.4848	2.71e-03	6.74e-03	down	yes
SULT2A1	-2.4115	0.6154	4.3939	5.73e-04	1.67e-03	down	yes
LRAT	-2.4040	3.2308	26.0303	6.58e-11	6.60e-10	down	yes
SMIM41	-2.4024	14.4615	123.1818	4.87e-09	3.58e-08	down	yes
MSRA	-2.3980	4.2308	36.5455	1.81e-03	4.71e-03	down	yes
RHOXF1	-2.3924	0.3846	3.1515	2.14e-03	5.45e-03	down	yes
MT1G	-2.3888	3.6154	26.5758	2.90e-07	1.58e-06	down	yes
INKA1	-2.3647	17.8462	127.9394	2.33e-16	5.40e-15	down	yes
SEC14L3	-2.3575	0.8462	6.2424	5.33e-05	1.93e-04	down	yes
GALR3	-2.3442	0.7692	5.6061	7.93e-04	2.25e-03	down	yes
SERF1A	-2.3268	29.6923	212.4848	6.32e-04	1.82e-03	down	yes
DNAH6	-2.3056	0.3846	3.0000	1.98e-03	5.08e-03	down	yes
B4GALNT4	-2.3056	0.8462	10.1818	4.18e-03	9.96e-03	down	yes
VPS28	-2.3042	28.3846	186.8788	1.34e-13	2.06e-12	down	yes
FAM240C	-2.2897	7.8462	47.3333	1.39e-03	3.71e-03	down	yes
CFD	-2.2681	408.3846	2950.3939	3.34e-17	8.82e-16	down	yes
C19ORF33	-2.2562	3.6923	28.9091	2.08e-08	1.38e-07	down	yes
IRX3	-2.2545	73.6154	502.0909	3.42e-05	1.28e-04	down	yes
BMP3	-2.2503	1.3846	10.7576	1.28e-03	3.45e-03	down	yes
RPS21	-2.2443	625.2308	4565.6970	4.94e-42	1.86e-39	down	yes
ANTKMT	-2.2408	51.6923	346.6364	1.04e-22	6.22e-21	down	yes
ASMT	-2.2279	0.9231	6.4848	4.09e-05	1.51e-04	down	yes
WNT4	-2.2210	18.3077	127.6364	7.77e-15	1.46e-13	down	yes
RBP4	-2.2173	16.4615	104.9394	1.53e-04	5.03e-04	down	yes
PITX1	-2.2156	125.1538	889.1212	2.99e-07	1.62e-06	down	yes
MSX1	-2.2138	21.0000	148.3030	1.74e-20	7.59e-19	down	yes
FUT6	-2.2093	0.7692	4.7576	8.90e-04	2.49e-03	down	yes
BRDT	-2.1938	1.0769	6.7273	4.72e-04	1.40e-03	down	yes
SBK2	-2.1867	14.3846	95.4545	1.13e-03	3.09e-03	down	yes
SCX	-2.1825	49.7692	323.7576	3.30e-21	1.60e-19	down	yes
TMEM160	-2.1819	39.6154	247.3333	4.38e-16	9.73e-15	down	yes
SLC12A5	-2.1765	1.4615	10.2121	1.67e-04	5.44e-04	down	yes
TRIM49D1	-2.1755	0.9231	5.8788	3.75e-04	1.14e-03	down	yes
GRIK2	-2.1738	10.3077	68.0606	3.87e-12	4.82e-11	down	yes
IRX5	-2.1648	15.6154	110.7273	1.75e-07	9.92e-07	down	yes
POTEG	-2.1637	0.7692	5.4848	3.20e-04	9.85e-04	down	yes
H2AC18	-2.1597	21.7692	214.2121	2.41e-10	2.20e-09	down	yes
CALML6	-2.1587	339.1538	2328.0000	8.61e-07	4.33e-06	down	yes
IGFBP6	-2.1485	109.5385	701.0000	1.15e-10	1.11e-09	down	yes
TMEM121	-2.1357	1.8462	11.7576	1.12e-05	4.60e-05	down	yes
SDF2L1	-2.1346	11.6154	74.7879	2.55e-25	2.12e-23	down	yes
GALNTL6	-2.1269	0.8462	5.7576	1.09e-03	2.98e-03	down	yes
DOHH	-2.1245	69.3077	414.5758	2.92e-21	1.43e-19	down	yes
FAU	-2.1222	1105.0769	7174.1515	4.87e-60	7.50e-57	down	yes
ACTN3	-2.1219	5244.3846	34198.1818	1.28e-05	5.20e-05	down	yes
SYT14	-2.1201	1.3846	9.4848	1.92e-05	7.56e-05	down	yes
JUNB	-2.1169	121.0000	719.9091	9.09e-08	5.43e-07	down	yes
EPHA10	-2.1158	1.3846	9.0909	5.36e-05	1.93e-04	down	yes
NXNL2	-2.1099	1.5385	9.6061	7.72e-06	3.27e-05	down	yes
B9D2	-2.1094	2.7692	17.5152	3.84e-09	2.87e-08	down	yes
SCAND1	-2.1063	120.6923	731.9697	8.94e-26	7.92e-24	down	yes
MYG1	-2.1054	72.0000	454.6970	2.69e-22	1.53e-20	down	yes
G6PC1	-2.0981	0.8462	5.2727	1.34e-03	3.60e-03	down	yes
MIXL1	-2.0964	0.5385	3.5152	3.22e-03	7.88e-03	down	yes
TNNI2	-2.0946	9488.8462	64748.6667	2.29e-19	8.34e-18	down	yes
SLC4A1	-2.0945	3.9231	24.0000	1.42e-05	5.71e-05	down	yes
NR2F1	-2.0944	7.2308	46.6061	3.08e-07	1.67e-06	down	yes
TCF15	-2.0941	33.4615	200.6970	1.20e-25	1.05e-23	down	yes
HSD17B6	-2.0907	1.0769	6.5455	5.17e-04	1.52e-03	down	yes
VARS1	-2.0903	15.3077	86.5152	2.50e-06	1.15e-05	down	yes
SLX1A	-2.0876	23.3077	151.2727	3.98e-11	4.14e-10	down	yes
HES6	-2.0869	28.5385	154.1818	9.77e-11	9.50e-10	down	yes
PAOX	-2.0800	9.0000	53.6667	3.90e-11	4.08e-10	down	yes
OR10A2	-2.0642	1.1538	6.7879	1.81e-04	5.88e-04	down	yes
RAC3	-2.0599	1.8462	11.5758	3.50e-03	8.47e-03	down	yes
FAM221B	-2.0582	1.7692	10.4242	1.19e-05	4.85e-05	down	yes
C1QTNF4	-2.0559	1.2308	7.2424	1.90e-05	7.50e-05	down	yes
MOGAT3	-2.0534	1.9231	11.1212	1.55e-05	6.23e-05	down	yes
ANAPC11	-2.0457	382.2308	2374.4848	1.73e-52	1.33e-49	down	yes
MAFA	-2.0382	222.7692	1243.0000	6.46e-13	9.03e-12	down	yes
AMER3	-2.0374	0.8462	5.2424	2.61e-04	8.19e-04	down	yes
TPGS1	-2.0356	18.3077	97.2424	2.23e-10	2.04e-09	down	yes
FAM124B	-2.0356	6.6923	40.9091	2.79e-06	1.27e-05	down	yes
DMKN	-2.0342	3.6154	24.6667	5.26e-05	1.90e-04	down	yes
IL23R	-2.0328	0.7692	4.1515	1.94e-03	5.00e-03	down	yes
NKD2	-2.0229	0.6154	3.7576	3.78e-03	9.09e-03	down	yes
SH2D1B	-2.0033	38.6923	255.8485	6.61e-06	2.84e-05	down	yes
MTNR1A	-2.0032	2.5385	14.2424	2.63e-07	1.45e-06	down	yes
