gene_symbol,study_id,assay_id,log2fc,adj_pvalue,test_group,ref_group,go_terms
CXCL10,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',6.500,1.00e-08,normal; injection of interferon gamma,normal; none,GO:0009615
S100A12,E-GEOD-53552,'lesional' vs 'non-lesional' in 'none' at '0 day',6.500,1.68e-25,0 day; lesional; none,0 day; non-lesional; none,GO:0070268; GO:0031424; GO:0009615
S100A12,E-GEOD-50790,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',6.500,4.70e-04,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
S100A12,E-GEOD-41662,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',6.500,8.98e-26,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
TCN1,E-GEOD-50790,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',6.500,1.48e-03,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
SERPINB4,E-GEOD-41745,'lesional' vs 'non-lesional',6.400,0.00e+00,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
ADGRF1,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',6.400,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
CXCL1,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',6.400,0.00e+00,lesional skin; psoriasis,normal; normal,
AKR1B10P1,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',6.300,0.00e+00,lesional skin; psoriasis,normal; normal,
CXCL9,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',6.200,5.48e-12,psoriasis; injection of interferon gamma,psoriasis; none,GO:0009615
SERPINB4,E-GEOD-41662,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',6.200,3.58e-19,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
AKR1B10,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',6.200,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
HEPHL1,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',6.200,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424
IDO1,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',6.100,1.87e-14,psoriasis; injection of interferon gamma,psoriasis; none,
SERPINB4,E-GEOD-53552,'lesional' vs 'non-lesional' in 'none' at '0 day',6.100,1.12e-19,0 day; lesional; none,0 day; non-lesional; none,GO:0070268; GO:0031424; GO:0009615
TCN1,E-GEOD-26866,'lesional' vs 'non-lesional' in 'one-cycle cDNA synthesis from bulk tissue',6.100,6.20e-03,lesional; one-cycle cDNA synthesis from bulk tissue,non-lesional; one-cycle cDNA synthesis from bulk tissue,GO:0070268; GO:0031424; GO:0009615
RSAD2,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',6.000,1.87e-14,psoriasis; injection of interferon gamma,psoriasis; none,GO:0070268; GO:0031424; GO:0009615
IDO1,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',5.900,1.14e-11,normal; injection of interferon gamma,normal; none,
S100A12,E-GEOD-30999,'lesional' vs 'non-lesional',5.900,0.00e+00,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
SERPINB3,E-GEOD-53552,'lesional' vs 'non-lesional' in 'none' at '0 day',5.900,8.29e-17,0 day; lesional; none,0 day; non-lesional; none,GO:0070268; GO:0031424; GO:0009615
SERPINB3,E-GEOD-41662,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',5.900,1.72e-16,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
SPRR2C,E-GEOD-50790,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',5.900,6.77e-04,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
SPRR2C,E-GEOD-52471,'psoriasis' vs 'normal' in 'Affy RNA amplification kit',5.900,6.35e-20,Affy RNA amplification kit; psoriasis,Affy RNA amplification kit; normal,GO:0070268; GO:0031424; GO:0009615
CXCL13,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',5.900,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0009615
GDA,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',5.900,0.00e+00,lesional skin; psoriasis,normal; normal,
RSAD2,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',5.800,1.14e-11,normal; injection of interferon gamma,normal; none,GO:0070268; GO:0031424; GO:0009615
SERPINB4,E-GEOD-52471,'psoriasis' vs 'normal' in 'Affy RNA amplification kit',5.800,6.35e-16,Affy RNA amplification kit; psoriasis,Affy RNA amplification kit; normal,GO:0070268; GO:0031424; GO:0009615
SPRR2D,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',5.800,0.00e+00,lesional skin; psoriasis,normal; normal,
MMP1,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',5.700,1.96e-06,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
CCL8,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',5.700,1.06e-13,psoriasis; injection of interferon gamma,psoriasis; none,GO:0009615
S100A12,E-GEOD-26866,'lesional' vs 'non-lesional' in 'one-cycle cDNA synthesis from bulk tissue',5.700,6.61e-03,lesional; one-cycle cDNA synthesis from bulk tissue,non-lesional; one-cycle cDNA synthesis from bulk tissue,GO:0070268; GO:0031424; GO:0009615
TCN1,E-GEOD-26866,'lesional' vs 'non-lesional' in 'two-cycle cDNA synthesis from bulk tissue',5.700,5.57e-03,lesional; two-cycle cDNA synthesis from bulk tissue,non-lesional; two-cycle cDNA synthesis from bulk tissue,GO:0070268; GO:0031424; GO:0009615
AKR1B10,E-GEOD-52471,'psoriasis' vs 'normal' in 'Affy RNA amplification kit',5.700,5.79e-18,Affy RNA amplification kit; psoriasis,Affy RNA amplification kit; normal,GO:0070268; GO:0031424; GO:0009615
TCN1,E-GEOD-52471,'psoriasis' vs 'normal' in 'Affy RNA amplification kit',5.700,2.77e-16,Affy RNA amplification kit; psoriasis,Affy RNA amplification kit; normal,GO:0070268; GO:0031424; GO:0009615
SERPINB4,E-GEOD-52471,'psoriasis' vs 'normal' in 'Ovation RNA Amplification V2 kit',5.700,3.86e-06,Ovation RNA Amplification V2 kit; psoriasis,Ovation RNA Amplification V2 kit; normal,GO:0070268; GO:0031424; GO:0009615
IL20,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',5.700,0.00e+00,lesional skin; psoriasis,normal; normal,
CXCL13,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',5.600,5.07e-05,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
SPRR2C,E-GEOD-41662,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',5.600,6.60e-22,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
IL36G,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',5.600,0.00e+00,lesional skin; psoriasis,normal; normal,
LTF,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',5.600,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
CCL8,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',5.500,9.73e-12,normal; injection of interferon gamma,normal; none,GO:0009615
APOBEC3A,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',5.500,1.96e-11,psoriasis; injection of interferon gamma,psoriasis; none,
SPRR2C,E-GEOD-53552,'lesional' vs 'non-lesional' in 'none' at '0 day',5.500,1.16e-21,0 day; lesional; none,0 day; non-lesional; none,GO:0070268; GO:0031424; GO:0009615
IGFL1,E-GEOD-50790,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',5.500,1.78e-03,lesional,non-lesional,
SPRR3,E-GEOD-50790,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',5.500,4.81e-04,lesional,non-lesional,
TCN1,E-GEOD-41662,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',5.500,8.53e-18,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
IL36G,E-GEOD-52471,'psoriasis' vs 'normal' in 'Affy RNA amplification kit',5.500,6.38e-19,Affy RNA amplification kit; psoriasis,Affy RNA amplification kit; normal,
SERPINB3,E-GEOD-52471,'psoriasis' vs 'normal' in 'Affy RNA amplification kit',5.500,5.06e-12,Affy RNA amplification kit; psoriasis,Affy RNA amplification kit; normal,GO:0070268; GO:0031424; GO:0009615
CERNA2,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',5.500,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
AIM2,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',5.400,1.58e-06,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
TCN1,E-GEOD-53552,'lesional' vs 'non-lesional' in 'none' at '0 day',5.400,3.78e-18,0 day; lesional; none,0 day; non-lesional; none,GO:0070268; GO:0031424; GO:0009615
C10orf99,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',5.400,0.00e+00,lesional skin; psoriasis,normal; normal,
NOS2,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',5.400,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
CXCL9,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',5.300,1.43e-04,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
OAS2,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',5.300,1.07e-12,normal; injection of interferon gamma,normal; none,GO:0009615
SERPINB3,E-GEOD-41745,'lesional' vs 'non-lesional',5.300,0.00e+00,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
CXCL8,E-GEOD-50790,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',5.300,6.77e-04,lesional,non-lesional,
MMP12,E-GEOD-50790,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',5.300,2.60e-03,lesional,non-lesional,
SERPINB4,E-GEOD-34248,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',5.300,1.44e-08,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
SPRR2C,E-GEOD-34248,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',5.300,3.43e-08,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
S100A12,E-GEOD-52471,'psoriasis' vs 'normal' in 'Affy RNA amplification kit',5.300,6.91e-16,Affy RNA amplification kit; psoriasis,Affy RNA amplification kit; normal,GO:0070268; GO:0031424; GO:0009615
KRT16,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',5.300,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
ADAMDEC1,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',5.200,2.62e-05,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0070268; GO:0031424; GO:0009615
CXCL11,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',5.200,2.95e-04,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
OASL,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',5.200,1.33e-06,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0070268; GO:0031424; GO:0009615
ISG15,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',5.200,2.16e-10,normal; injection of interferon gamma,normal; none,GO:0009615
OAS2,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',5.200,1.87e-14,psoriasis; injection of interferon gamma,psoriasis; none,GO:0009615
PI3,E-GEOD-53552,'lesional' vs 'non-lesional' in 'none' at '0 day',5.200,1.38e-18,0 day; lesional; none,0 day; non-lesional; none,GO:0070268; GO:0031424; GO:0009615
S100A9,E-GEOD-53552,'lesional' vs 'non-lesional' in 'none' at '0 day',5.200,2.48e-18,0 day; lesional; none,0 day; non-lesional; none,GO:0070268; GO:0031424; GO:0009615
PI3,E-GEOD-41662,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',5.200,3.35e-18,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
S100A9,E-GEOD-41662,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',5.200,7.15e-18,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
AL034376.2,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',5.200,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
LCE3D,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',5.200,0.00e+00,lesional skin; psoriasis,normal; normal,
LCE3E,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',5.200,0.00e+00,lesional skin; psoriasis,normal; normal,
RHCG,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',5.200,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
RP4-529N6.2,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',5.200,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
PLAC8,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',5.100,1.68e-06,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
HERC6,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',5.100,1.14e-11,normal; injection of interferon gamma,normal; none,GO:0009615
IFI44L,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',5.100,6.56e-11,normal; injection of interferon gamma,normal; none,GO:0070268; GO:0031424; GO:0009615
HERC6,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',5.100,2.39e-13,psoriasis; injection of interferon gamma,psoriasis; none,GO:0009615
ISG20,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',5.100,1.87e-14,psoriasis; injection of interferon gamma,psoriasis; none,GO:0009615
TCN1,E-GEOD-30999,'lesional' vs 'non-lesional',5.100,0.00e+00,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
TMPRSS11D,E-GEOD-50790,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',5.100,4.81e-04,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
VNN3,E-GEOD-50790,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',5.100,6.13e-05,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
SERPINB3,E-GEOD-52471,'psoriasis' vs 'normal' in 'Ovation RNA Amplification V2 kit',5.100,5.25e-06,Ovation RNA Amplification V2 kit; psoriasis,Ovation RNA Amplification V2 kit; normal,GO:0070268; GO:0031424; GO:0009615
HRNR,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',5.100,0.00e+00,lesional skin; psoriasis,normal; normal,
IGFL1,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',5.100,0.00e+00,lesional skin; psoriasis,normal; normal,
S100A12,E-GEOD-41663,'skin lesion' vs 'normal skin' in 'none' at '0 weeks',5.100,1.62e-08,none; skin lesion; 0 week,none; normal; 0 week,GO:0070268; GO:0031424; GO:0009615
TCN1,E-GEOD-41663,'skin lesion' vs 'normal skin' in 'none' at '0 weeks',5.100,2.19e-08,none; skin lesion; 0 week,none; normal; 0 week,GO:0070268; GO:0031424; GO:0009615
GZMB,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',5.000,1.88e-06,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
ISG15,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',5.000,1.58e-06,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
S100A12,E-GEOD-41745,'lesional' vs 'non-lesional',5.000,0.00e+00,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
S100A9,E-GEOD-34248,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',5.000,8.01e-09,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
AKR1B15,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',5.000,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
EPGN,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',5.000,0.00e+00,lesional skin; psoriasis,normal; normal,
S100A9,E-GEOD-16161,'atopic dermatitis' vs 'normal',4.900,3.52e-05,atopic dermatitis,normal,GO:0070268; GO:0031424; GO:0009615
RSAD2,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',4.900,6.45e-06,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0070268; GO:0031424; GO:0009615
APOBEC3A,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',4.900,1.18e-09,normal; injection of interferon gamma,normal; none,
ISG20,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',4.900,4.12e-12,normal; injection of interferon gamma,normal; none,GO:0009615
ISG15,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',4.900,2.89e-12,psoriasis; injection of interferon gamma,psoriasis; none,GO:0009615
SPRR2C,E-GEOD-30999,'lesional' vs 'non-lesional',4.900,0.00e+00,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
RHCG,E-GEOD-26866,'lesional' vs 'non-lesional' in 'one-cycle cDNA synthesis from bulk tissue',4.900,6.20e-03,lesional; one-cycle cDNA synthesis from bulk tissue,non-lesional; one-cycle cDNA synthesis from bulk tissue,GO:0070268; GO:0031424; GO:0009615
AKR1B10,E-GEOD-50790,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',4.900,6.37e-04,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
S100A12,E-GEOD-52471,'psoriasis' vs 'normal' in 'Ovation RNA Amplification V2 kit',4.900,1.07e-05,Ovation RNA Amplification V2 kit; psoriasis,Ovation RNA Amplification V2 kit; normal,GO:0070268; GO:0031424; GO:0009615
IFI44L,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',4.800,1.87e-14,psoriasis; injection of interferon gamma,psoriasis; none,GO:0070268; GO:0031424; GO:0009615
PI3,E-GEOD-41745,'lesional' vs 'non-lesional',4.800,1.49e-31,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
S100A12,E-GEOD-26866,'lesional' vs 'non-lesional' in 'two-cycle cDNA synthesis from bulk tissue',4.800,6.56e-03,lesional; two-cycle cDNA synthesis from bulk tissue,non-lesional; two-cycle cDNA synthesis from bulk tissue,GO:0070268; GO:0031424; GO:0009615
CXCL8,E-GEOD-41662,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',4.800,7.36e-15,lesional,non-lesional,
S100A9,E-GEOD-50790,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',4.800,2.30e-03,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
CCL20,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',4.800,0.00e+00,lesional skin; psoriasis,normal; normal,
TCN1,E-GEOD-41745,'lesional' vs 'non-lesional',4.700,4.63e-38,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
VNN3,E-GEOD-30999,'lesional' vs 'non-lesional',4.700,0.00e+00,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
CXCL8,E-GEOD-53552,'lesional' vs 'non-lesional' in 'none' at '0 day',4.700,1.02e-14,0 day; lesional; none,0 day; non-lesional; none,
LCN2,E-GEOD-53552,'lesional' vs 'non-lesional' in 'none' at '0 day',4.700,3.04e-19,0 day; lesional; none,0 day; non-lesional; none,
VNN3,E-GEOD-53552,'lesional' vs 'non-lesional' in 'none' at '0 day',4.700,1.08e-25,0 day; lesional; none,0 day; non-lesional; none,GO:0070268; GO:0031424; GO:0009615
LCN2,E-GEOD-41662,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',4.700,3.58e-19,lesional,non-lesional,
RHCG,E-GEOD-50790,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',4.700,4.81e-04,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
S100A12,E-GEOD-34248,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',4.700,2.50e-07,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
VNN3,E-GEOD-41662,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',4.700,4.47e-25,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
CHAC1,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',4.700,0.00e+00,lesional skin; psoriasis,normal; normal,
GBP1,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',4.600,3.67e-11,normal; injection of interferon gamma,normal; none,GO:0070268; GO:0031424; GO:0002376; GO:0009615
IRF1,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',4.600,4.89e-12,normal; injection of interferon gamma,normal; none,
OAS3,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',4.600,5.40e-11,normal; injection of interferon gamma,normal; none,GO:0009615
OASL,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',4.600,6.91e-14,psoriasis; injection of interferon gamma,psoriasis; none,GO:0070268; GO:0031424; GO:0009615
PLAAT4,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',4.600,8.10e-14,psoriasis; injection of interferon gamma,psoriasis; none,
